hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.001,1718.55,72.9461,72.9461,72.9151,72.9151,78.3519,78.3431,119.662,115.646,67.0079,129.951,326.353,292.768,292.768,324.957,292.777,292.777,344.707,3.91778,0.0110309,44.7076,1
850.688,1374.55,73.1844,73.1839,73.1046,73.1045,78.6011,78.3267,119.662,117.552,67.0078,117.218,323.232,292.997,292.983,323.259,292.888,292.888,343.891,-1.37387,0.197492,56.9522,2
850.643,1058.83,76.7,76.6999,76.6626,76.6627,77.7956,77.2898,119.662,119.662,67.0076,109.207,321.058,293.584,293.566,320.901,293.282,293.282,341.404,-4.84504,0.424584,69.7597,3
850.683,343.487,79.2243,79.225,79.1942,79.1949,74.3163,73.6152,119.662,119.662,67.0075,103.094,318.992,294.38,294.358,318.671,293.758,293.758,336.702,-6.9657,0.612077,80.5572,4
850.969,325.493,80.9222,80.9229,80.8902,80.8913,71.2779,70.2505,119.662,119.662,67.0073,98.0393,317.117,295.891,295.842,316.82,294.746,294.746,329.366,-8.19207,0.781522,89.9247,5
851.817,318.031,81.9681,81.9691,81.9489,81.9501,68.5119,67.1274,119.662,107.667,67.0072,94.551,315.639,298.011,298.082,315.314,297.661,297.661,318.56,-8.96444,0.928132,96.1921,6
858.277,307.185,82.5206,82.5223,82.5185,82.5216,65.8591,64.5087,108.701,81.3493,67.007,92.5831,314.875,297.298,297.463,314.453,297.145,297.145,305.286,-9.51552,1.02546,99.696,7
929.33,298.01,82.5244,82.5261,82.5291,82.532,63.2936,62.3891,99.9866,88.515,67.0069,90.7138,313.068,295.656,295.755,313.479,296.257,296.257,300.511,-9.40257,1.11021,102.037,8
1168.79,293.635,82.2997,82.3003,82.29,82.2965,60.8492,60.4801,80.3244,70.0453,67.0068,90.5563,311.832,294.719,294.804,312.091,294.846,294.846,298.868,-8.12476,1.18229,103.905,9
1205.4,288.842,81.938,81.9367,81.9334,81.9385,58.8272,58.6437,98.0978,85.25,67.0493,89.3871,311.593,294.291,294.366,311.376,294.213,294.213,297.54,-8.44842,1.24558,105.409,10
