hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.002,2038.66,72.9372,72.9372,72.9068,72.9068,78.3537,78.3442,119.662,114.759,67.0079,131.662,325.953,292.786,292.786,325.027,292.796,292.796,344.708,5.38761,0.00346541,43.9082,1
850.675,1657.27,73.1566,73.1566,73.0741,73.074,78.5808,78.3046,119.662,116.354,67.0078,118.315,323.558,292.979,292.969,323.568,292.868,292.869,343.947,-0.930447,0.155515,54.2902,2
850.635,1230.55,76.2554,76.2553,76.215,76.2145,78.1694,77.6554,119.662,119.499,67.0076,111.015,321.434,293.496,293.484,321.245,293.224,293.224,341.668,-3.91364,0.364767,66.8107,3
850.673,366.713,78.2892,78.2891,78.2501,78.2497,74.9796,74.2608,119.662,119.662,67.0075,105.09,319.52,294.193,294.178,319.255,293.646,293.646,337.059,-6.31249,0.531348,76.5521,4
850.933,331.184,79.398,79.3979,79.3523,79.352,72.7494,71.7117,119.662,119.662,67.0073,99.9345,317.715,295.405,295.376,317.335,294.463,294.462,329.956,-7.60732,0.68408,85.8923,5
851.614,321.393,79.7963,79.7962,79.7687,79.7686,71.2853,69.7914,119.662,116.316,67.0072,95.7886,315.992,297.916,297.818,315.678,295.89,295.889,319.943,-8.50759,0.817322,92.3565,6
855.007,310.418,79.7395,79.7394,79.7254,79.7255,69.9579,68.5122,105.792,80.8485,67.007,92.8635,315.081,297.586,297.702,314.576,297.229,297.228,306.129,-9.53257,0.921298,96.3933,7
890.071,298.073,79.3633,79.3632,79.3774,79.3774,68.5374,67.4837,108.815,92.6502,67.0069,90.3023,313.305,295.934,296.057,313.475,296.319,296.32,300.799,-9.68574,1.0056,99.0263,8
1100.55,293.689,78.9079,78.9079,78.9226,78.9227,66.6326,66.43,93.207,85.1544,67.0068,89.1075,311.959,294.641,294.71,312.423,295.322,295.322,298.757,-9.47696,1.08514,101.24,9
1198.14,287.911,78.3476,78.3475,78.3552,78.3553,63.9765,64.7163,99.7113,90.781,67.0405,87.9515,311.07,293.829,293.901,311.274,294.093,294.093,296.919,-9.15799,1.15257,103.006,10
1063.11,283.756,77.5867,77.5858,77.5876,77.5868,60.7789,61.749,100.924,88.8707,67.1185,90.9508,310.474,293.199,293.276,310.559,293.281,293.281,295.201,-6.31843,1.22942,104.84,11
967.782,279.938,76.7472,76.7465,76.7442,76.7437,57.6971,58.6218,81.433,67.3105,67.1525,90.3185,309.535,292.429,292.522,309.443,292.396,292.396,293.43,-5.73493,1.30701,106.665,12
949.656,276.693,76.0555,76.0537,76.0528,76.0518,55.7597,56.6236,74.5504,55.472,67.1692,90.231,308.99,292.241,292.395,309.016,292.298,292.297,292.711,-5.27713,1.37166,108.069,13
938.658,274.987,75.4998,75.496,75.4612,75.4596,54.1119,54.9071,77.9886,0.0,67.1782,87.0013,307.871,291.327,291.927,307.575,291.154,291.154,290.884,-6.4483,1.43481,109.354,14
1000.31,272.475,75.1666,75.1618,75.0946,75.0938,53.4836,53.4387,74.9813,0.0,67.1853,80.5839,309.152,291.694,292.264,306.986,290.816,290.816,291.465,-12.6878,1.49163,110.476,15
1050.4,269.572,74.7795,74.7771,74.629,74.6374,52.5751,51.8304,65.1532,0.0,67.1921,78.1521,307.616,290.854,291.36,306.234,290.154,290.154,289.739,-13.1694,1.54202,111.392,16
1025.28,266.652,74.4578,74.4557,74.2599,74.2688,51.2788,49.8973,60.998,21.2611,67.1991,76.247,306.703,290.457,290.849,305.786,289.847,289.847,289.297,-13.895,1.58658,112.177,17
1001.18,263.849,74.126,74.1251,73.9249,73.9332,50.0652,48.6038,59.322,23.9414,67.2066,74.989,306.703,290.059,290.354,305.562,289.483,289.483,288.645,-15.0059,1.62951,112.908,18
990.974,261.267,73.7904,73.7911,73.5962,73.6016,48.5005,47.0082,55.5239,19.3813,67.2138,74.1473,305.747,289.633,289.913,304.602,288.986,288.986,287.676,-14.8067,1.67203,113.616,19
989.718,258.503,73.6698,73.6729,73.4371,73.4371,47.1513,45.5289,51.6307,24.7169,67.2207,74.0112,305.976,290.001,290.279,304.412,289.218,289.218,288.095,-15.1589,1.71386,114.266,20
1022.64,256.273,73.528,73.5221,73.3058,73.3058,47.0469,45.2558,51.5322,21.1074,67.2275,74.9209,305.501,290.094,290.348,304.716,289.587,289.587,288.937,-13.8643,1.76004,114.988,21
1062.53,254.248,73.219,73.214,73.0479,73.0479,44.6855,43.9793,49.748,17.3644,67.2344,73.1029,304.614,289.27,289.534,303.513,288.655,288.655,287.252,-14.628,1.80195,115.645,22
1051.28,251.827,72.9405,72.9347,72.7947,72.7947,41.8655,42.0896,48.5574,35.522,67.2418,72.2605,302.921,288.156,288.352,302.347,287.687,287.687,285.184,-13.7169,1.83955,116.212,23
1036.44,249.715,72.6029,72.5968,72.4757,72.4757,40.5939,40.9187,46.2705,32.6255,67.2497,71.3938,302.176,287.373,287.555,301.777,287.28,287.28,284.024,-13.7879,1.87773,116.769,24
1040.09,248.602,72.1693,72.1628,72.0687,72.0687,39.4359,39.9443,45.4859,31.66,67.2572,69.5321,301.893,286.452,286.634,301.371,286.332,286.332,282.58,-15.3005,1.91517,117.309,25
1058.95,246.783,71.6088,71.6023,71.4998,71.4995,38.4189,38.9598,40.4467,25.1088,67.2649,64.7684,300.483,284.856,285.018,299.12,284.396,284.396,280.311,-18.7566,1.95045,117.776,26
1069.88,244.844,70.9285,70.9228,70.8688,70.8676,37.0987,37.7381,38.7044,21.8198,67.272,63.2413,300.276,284.118,284.33,300.104,284.163,284.163,277.853,-20.1973,1.9789,118.05,27
1072.82,243.319,70.2279,70.2234,70.2447,70.2419,36.1982,37.0585,35.3842,14.7799,67.2808,62.1301,298.86,283.631,283.88,299.525,283.768,283.768,277.098,-20.6724,1.99932,117.998,28
1087.01,241.679,69.5273,69.5248,69.6542,69.6492,35.8357,36.9395,33.4463,11.55,67.2884,61.8604,298.832,283.308,283.568,299.447,283.55,283.55,276.804,-20.8957,2.01543,117.942,29
1103.15,240.114,68.8354,68.8351,69.0672,69.0598,35.8249,37.1207,33.5771,9.15331,67.2962,60.7798,298.032,282.594,282.883,299.845,282.899,282.899,275.719,-22.5147,2.03034,117.919,30
1127.75,238.604,68.1504,68.1521,68.495,68.4856,35.9743,37.3234,35.0722,9.28045,67.3054,59.7194,297.34,281.879,282.188,299.131,282.237,282.238,274.616,-23.021,2.04429,117.896,31
1148.46,237.134,67.4803,67.4836,67.9487,67.9377,36.2096,37.6407,33.9374,9.04284,67.3134,58.6723,296.709,281.163,281.475,298.273,281.536,281.537,273.511,-23.3908,2.05751,117.877,32
1153.48,235.704,66.8167,66.8214,67.4131,67.4008,36.4727,37.9471,33.286,8.19592,67.3218,57.5559,296.039,280.385,280.713,297.577,280.78,280.781,272.317,-24.0284,2.06957,117.853,33
1154.11,234.313,66.1744,66.1802,66.8792,66.8659,36.718,38.1667,32.673,7.56839,67.3303,56.4745,295.395,279.624,279.965,297.044,280.042,280.043,271.139,-24.8117,2.08071,117.822,34
