hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.003,1728.69,72.9702,72.9702,72.9207,72.9207,78.3564,78.3404,119.662,114.71,67.0079,129.327,326.195,292.748,292.748,324.914,292.757,292.757,344.689,3.68184,0.0083677,44.1246,1
850.704,1289.79,73.235,73.2349,73.1242,73.1241,78.6946,78.312,119.662,115.236,67.0078,116.454,323.029,293.174,293.128,323.115,292.886,292.886,343.908,-1.75741,0.16659,54.3017,2
850.661,508.902,76.13,76.1299,76.0681,76.0676,78.5816,77.9196,119.662,118.927,67.0076,107.213,320.358,293.977,293.899,320.301,293.277,293.277,341.566,-5.6074,0.412543,67.0715,3
850.703,342.154,77.9887,77.9886,77.9532,77.9528,75.3307,73.9908,119.662,119.662,67.0075,99.7426,317.882,295.082,294.978,317.748,293.754,293.754,336.78,-7.89259,0.698971,82.2759,4
851.017,318.371,78.6625,78.6625,78.637,78.6369,72.6964,70.9985,119.662,116.008,67.0073,94.4388,315.912,297.891,297.015,315.72,294.753,294.753,329.319,-9.3119,0.922872,93.6741,5
852.105,307.853,78.6989,78.6988,78.6769,78.677,70.5889,68.9322,110.503,81.7016,67.0072,91.4349,314.63,297.008,297.14,314.205,296.536,296.537,317.801,-10.0552,1.08792,100.44,6
865.163,301.532,78.4615,78.4614,78.4655,78.4656,68.8488,67.4344,113.378,91.2231,67.007,89.9461,313.49,295.64,295.845,313.37,296.019,296.019,303.049,-9.95026,1.18573,103.956,7
1011.34,295.454,77.8271,77.8271,77.828,77.8282,66.9703,66.2408,86.1096,72.3078,67.0069,87.0443,311.591,294.231,294.34,311.863,294.414,294.414,297.555,-10.4087,1.26333,105.942,8
1222.19,291.609,77.0564,77.0563,77.0718,77.0719,63.8457,63.9887,82.9826,56.7528,67.0068,83.9816,310.009,292.406,292.677,310.217,292.811,292.811,294.749,-11.065,1.3233,107.343,9
1173.89,290.479,76.3189,76.3177,76.296,76.2954,59.1812,59.79,82.5199,80.0066,67.0376,82.8839,309.101,291.886,291.768,308.523,291.243,291.242,292.185,-10.8011,1.37675,108.436,10
