hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
850.991,1774.41,72.9691,72.969,72.9221,72.922,78.3533,78.3414,119.662,116.802,67.0079,129.753,326.462,292.753,292.754,324.919,292.763,292.763,344.705,3.68384,0.0127786,44.8219,1
850.693,1417.99,73.2392,73.2388,73.1287,73.1286,78.6862,78.3089,119.662,115.155,67.0078,116.77,323.109,293.139,293.097,323.18,292.879,292.879,343.883,-1.60336,0.165656,54.5894,2
850.659,509.416,76.2188,76.2185,76.1577,76.1575,78.5915,77.9445,119.662,118.637,67.0076,107.971,320.571,293.908,293.84,320.504,293.259,293.259,341.463,-5.26327,0.319607,61.9756,3
850.699,344.31,78.6337,78.6343,78.6047,78.605,75.2126,73.9027,119.662,119.662,67.0075,100.611,318.116,295.035,294.918,318.005,293.725,293.725,336.591,-7.59223,0.66041,80.0659,4
851.027,319.278,80.1428,80.1437,80.1216,80.1222,71.8802,70.3001,119.662,119.662,67.0073,95.2714,316.179,297.214,297.013,315.983,294.708,294.708,329.077,-9.03124,0.906497,92.6747,5
852.107,308.534,81.0531,81.0542,81.0346,81.0354,68.6595,67.0439,113.548,82.8708,67.0072,92.3829,314.972,297.353,297.494,314.568,296.861,296.861,317.559,-9.74915,1.07946,100.009,6
864.225,302.547,81.5199,81.5213,81.5262,81.5269,65.6875,64.2269,114.719,89.7726,67.007,90.6292,313.912,296.096,296.32,313.822,296.481,296.481,303.506,-9.89505,1.18316,103.849,7
994.316,298.759,81.5957,81.5971,81.5978,81.5986,62.7022,61.8539,86.6118,72.2411,67.0069,88.9204,312.176,294.856,294.968,312.544,295.173,295.173,298.786,-9.73111,1.26619,106.055,8
1155.07,296.654,81.3281,81.3283,81.3313,81.3315,59.8619,59.4292,72.47,49.4341,67.0068,86.2674,311.068,293.675,293.922,311.034,293.731,293.731,296.532,-10.1867,1.33043,107.562,9
1193.65,292.217,80.92,80.9181,80.9222,80.921,56.5966,56.5293,75.738,54.0572,67.0472,86.0272,308.84,291.637,291.803,309.064,291.734,291.734,292.043,-8.36195,1.37832,108.566,10
1046.5,282.374,80.6975,80.6952,80.698,80.6963,54.5715,54.7222,85.1826,68.3107,67.1251,85.0753,311.72,293.097,293.265,311.096,293.3,293.301,295.851,-11.7327,1.45005,110.015,11
991.557,280.041,80.2786,80.2767,80.3048,80.3034,48.5622,49.526,113.238,99.3973,67.1566,78.5673,308.169,290.756,290.815,308.399,290.79,290.789,292.024,-13.6021,1.5211,111.477,12
958.318,280.276,80.254,80.2567,80.3944,80.3871,45.3473,48.0069,71.262,0.0,67.1713,86.7971,313.227,289.455,289.578,310.689,294.623,294.626,292.751,-11.9542,1.59415,112.897,13
985.787,272.958,80.284,80.2898,80.3429,80.3442,45.1576,47.4751,59.6849,54.6883,67.1796,82.9356,310.727,294.93,295.024,309.602,293.595,293.596,295.313,-12.3865,1.65714,114.008,14
994.597,272.305,80.2528,80.2532,80.3124,80.3055,45.1396,47.2473,53.91,0.0,67.1865,81.6523,308.397,291.999,292.582,310.652,294.068,294.068,294.898,-13.3263,1.72139,115.116,15
1042.62,269.248,80.1305,80.1391,80.1994,80.1999,44.9804,46.589,66.8079,49.2613,67.1932,79.8133,308.271,290.38,290.589,309.716,293.256,293.257,293.663,-13.8829,1.77384,115.966,16
1124.33,266.523,79.9798,79.9851,80.0089,80.0112,44.5475,45.6499,58.2652,41.0131,67.2,78.5792,308.561,292.616,292.74,307.789,291.933,291.934,292.051,-13.7542,1.84309,117.132,17
1072.7,264.145,79.6954,79.6931,79.7288,79.7249,44.1082,44.7738,45.5058,0.0,67.2068,75.8627,307.156,291.293,291.395,307.347,291.368,291.369,290.453,-14.8758,1.91088,118.365,18
