hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
850.987,2201.88,72.9388,72.9387,72.9117,72.9117,78.3537,78.3442,118.62,113.774,67.0079,131.904,326.239,292.788,292.788,325.016,292.797,292.797,344.71,5.25275,0.00909211,44.5833,1
850.664,1876.64,73.1529,73.1524,73.0744,73.0744,78.5697,78.3097,119.662,115.272,67.0078,119.032,323.743,292.952,292.944,323.741,292.871,292.871,343.912,-0.617032,0.144739,54.0355,2
850.63,1432.47,76.1714,76.1705,76.1278,76.1271,78.5185,78.0468,119.662,118.049,67.0076,112.13,321.79,293.437,293.426,321.592,293.202,293.202,341.563,-3.4707,0.334355,65.5453,3
850.665,401.59,78.9445,78.9451,78.91,78.9105,75.0775,74.3688,119.662,119.335,67.0075,106.911,320.048,294.088,294.075,319.753,293.579,293.579,336.905,-5.52127,0.482159,74.1753,4
850.917,335.983,81.0553,81.056,81.0239,81.0248,72.0428,71.0834,119.662,119.245,67.0073,102.101,318.402,295.189,295.166,318.049,294.303,294.303,329.853,-6.97201,0.619787,83.0613,5
851.533,326.132,82.4572,82.4581,82.4269,82.4299,69.3359,67.9765,119.662,117.181,67.0072,98.0297,316.877,297.161,297.105,316.54,295.677,295.677,320.309,-7.95824,0.740381,89.4066,6
854.434,314.459,83.1915,83.1927,83.1788,83.1818,66.888,65.2882,109.608,92.8593,67.007,95.1701,315.754,298.314,298.384,315.316,297.958,297.958,307.683,-8.6734,0.844704,93.6746,7
875.604,303.368,83.3485,83.35,83.3508,83.3537,64.4993,63.2044,102.011,85.0848,67.0069,92.5886,314.406,297.207,297.312,314.403,297.251,297.251,302.912,-9.0431,0.929081,96.6039,8
1032.0,292.721,83.2296,83.2311,83.236,83.2387,62.1916,61.4987,97.7821,91.7677,67.0068,91.4802,313.098,295.882,295.936,313.536,296.533,296.533,300.97,-8.92999,1.00717,98.941,9
1155.77,287.11,82.7524,82.753,82.7535,82.7554,60.0589,59.9585,95.9902,89.9147,67.05,89.4502,312.322,295.182,295.234,312.641,295.594,295.594,299.552,-9.45123,1.07579,100.872,10
