Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.306,102.729,1408.44,54.3991,309.056,851.0,381.0,99.9985,2222.81,72.9295,72.9295,72.904,72.904,0,0,563.475,563.475,564.294,564.293,1137.07,1140.87,78.3538,78.3452,54.1349,54.116,0.0,0.0,119.662,113.379,112.544,112.764,52.8041,67.0079,134.669,134.669,156.868,0.0278054,308.99,325.904,292.799,309.044,292.799,325.068,292.81,292.81,336.319,293.058,293.058,344.714,344.782,40.3762,309.052,7.28692,7.28692,5.43023,4.45636,0.881245,0.142371,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.44,53.7876,27.6939,0.00185306,43.8365,0.263007,1408.44,0.00164564
1.000,101.845,102.778,1409.44,47.2143,309.056,850.666,381.0,100.058,1886.72,73.1369,73.1368,73.0614,73.0613,0,0,581.273,581.282,558.953,558.933,1132.89,1142.75,78.5588,78.307,54.5432,54.032,0.0,0.0,119.662,115.071,114.45,113.549,49.9425,67.0078,119.272,119.272,155.231,0.0,308.432,323.804,292.945,308.431,292.936,323.805,292.863,292.862,322.349,293.043,293.043,343.963,344.782,40.3762,308.432,-0.51551,-0.51551,5.91176,4.10323,0.902991,0.138243,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1409.44,53.7876,36.5012,0.124118,52.4619,0.263067,1409.44,0.00164564
2.000,99.438,100.151,248.445,35.9372,301.087,850.631,263.842,18.8218,1539.85,75.8025,75.8024,75.7561,75.7556,0,0,443.021,443.003,390.641,390.403,1126.17,1140.43,78.7327,78.3018,54.8893,54.0207,0.0,0.0,119.662,117.763,114.881,114.737,41.7429,67.0076,112.388,112.388,150.61,0.0,307.718,321.872,293.423,307.657,293.412,321.697,293.196,293.195,320.378,292.995,292.995,341.71,344.782,40.3762,307.718,-3.36856,-3.36856,6.31707,3.76776,0.811003,0.134095,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,248.445,53.7876,96.7032,0.316197,64.3227,0.263642,248.445,0.31737
3.000,82.3648,83.0717,91.8207,10.0728,300.524,850.663,107.632,7.49315,459.747,78.0933,78.0932,78.056,78.0556,0,0,202.18,202.268,151.568,150.998,1046.19,1056.49,75.5317,74.8349,47.9378,46.4075,0.0,0.0,119.662,119.293,114.506,114.46,26.811,67.0075,107.103,107.103,141.913,0.0,307.131,320.12,294.053,306.994,294.04,319.805,293.56,293.559,320.404,292.892,292.892,337.165,344.782,40.3762,307.131,-5.45112,-5.45112,6.29903,3.71186,1.12301,0.134234,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,91.8207,53.7876,100.0,0.463183,72.9439,0.265198,91.8207,26.9629
4.000,71.8413,72.7358,37.7449,8.42132,300.394,850.908,0.0,2.94975,336.456,79.4219,79.4219,79.3771,79.3768,0,0,247.988,248.059,201.09,200.65,828.45,846.238,73.0092,72.078,42.3984,40.3535,0.0,0.0,119.662,118.95,113.67,113.637,7.03371,67.0073,102.034,102.034,129.165,0.0,306.783,318.396,295.078,306.605,295.056,318.091,294.227,294.227,319.566,292.73,292.73,330.01,344.782,40.3762,306.783,-7.00646,-7.00646,7.64667,3.62302,1.2618,0.131369,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,37.7449,53.7876,100.0,0.599963,81.9346,0.267454,37.7449,123.545
5.000,63.9898,65.6796,11.612,8.15542,300.294,851.463,0.0,0.960612,326.094,80.0316,80.0316,79.9939,79.9938,0,0,260.122,260.177,205.762,205.521,684.654,714.558,71.5117,70.0882,39.1101,35.9841,0.0,0.0,119.662,117.3,112.899,112.859,0.0,67.0072,97.7692,97.7692,119.522,0.0,306.779,316.74,296.885,306.608,296.835,316.429,295.45,295.45,316.894,292.528,292.528,320.799,344.782,40.3762,306.779,-7.98625,-7.98625,8.97658,3.50695,1.2618,0.130072,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,11.612,53.7876,100.0,0.720195,88.5013,0.270089,11.612,141.516
6.000,54.4574,55.8407,-6.1163,7.86481,300.214,854.138,0.0,0.0,314.435,80.0953,80.0953,80.0803,80.0803,0,0,241.03,241.098,211.399,211.37,550.268,566.761,70.2723,68.6751,36.3884,32.8809,0.0,0.0,111.179,94.4131,104.99,104.945,0.0,67.007,94.4135,94.4135,119.522,0.0,306.844,315.493,298.007,306.671,298.075,315.103,297.73,297.73,306.635,292.249,292.249,307.401,344.782,40.3762,306.844,-8.9093,-8.9093,10.1675,3.11036,1.2618,0.127703,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.824096,92.8877,0.272959,0.0,141.145
7.000,43.2861,44.0366,-16.8336,7.57674,300.141,871.705,0.0,0.0,303.086,79.8004,79.8003,79.8046,79.8046,0,0,208.656,208.719,198.24,198.305,411.703,423.553,68.8663,67.7042,33.3009,30.7489,0.0,0.0,102.317,84.541,91.4655,91.4513,0.0,67.0069,91.3195,91.3195,119.522,0.0,305.57,314.023,296.783,305.537,296.888,313.905,296.718,296.718,301.954,292.141,292.144,302.046,344.782,40.3762,305.57,-9.52779,-9.52779,11.1857,1.80054,1.2618,0.124255,0.0,0.0,1.74174,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.908423,95.8975,0.275845,0.0,142.808
8.000,25.7113,25.3924,-18.5861,7.37652,300.091,1001.66,0.0,0.0,294.174,79.4139,79.4138,79.4323,79.4324,0,0,159.836,159.894,173.966,174.051,265.715,267.151,67.1622,66.6852,29.5589,28.5112,0.0,0.0,102.558,95.4716,88.8233,88.8289,0.0,67.0068,89.8237,89.8237,119.522,0.0,304.047,312.56,295.274,304.269,295.34,312.967,295.932,295.932,299.762,292.098,292.107,299.753,344.782,40.3763,304.54,-9.51352,-9.51352,11.9698,1.59972,1.2618,0.127654,0.0,0.027607,3.07118,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.985751,98.2762,0.278666,0.0,143.835
9.000,0.0,0.0,-19.282,7.2626,300.041,1109.25,0.0,0.0,289.646,78.8824,78.8823,78.8919,78.892,0,0,135.645,135.696,155.797,155.894,80.4793,67.5377,65.1938,65.5437,25.2364,26.0046,0.0,0.0,99.2974,93.6196,99.1361,99.1412,0.0,67.0411,87.9254,87.9254,119.522,0.0,303.118,311.688,294.381,303.378,294.429,312.129,294.985,294.985,298.081,292.067,292.086,298.078,344.782,40.3769,303.675,-10.0317,-10.0317,12.587,1.42955,1.2618,0.125997,0.0,8.44404,19.3205,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.05554,100.278,0.281412,0.0,143.938
