Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.272,102.749,1408.46,45.8986,309.056,851.002,381.0,100.001,2022.79,72.9374,72.9374,72.9066,72.9065,0,0,563.466,563.466,564.097,564.097,1137.06,1140.91,78.3537,78.3442,54.1346,54.1138,0.0,0.0,119.662,114.828,112.323,112.571,52.7789,67.0079,131.487,131.487,156.853,0.026103,308.978,325.958,292.785,309.032,292.785,325.025,292.795,292.795,335.422,293.058,293.058,344.707,344.782,40.3762,309.041,5.27469,5.27469,5.44797,4.44536,0.917193,0.141802,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.46,53.7876,27.6943,0.00355539,43.9122,0.263007,1408.46,0.00164564
1.000,101.809,102.811,1409.61,40.6636,309.056,850.675,381.0,100.07,1639.4,73.1562,73.1561,73.0735,73.0734,0,0,582.952,582.962,558.187,558.166,1132.46,1142.96,78.5822,78.3023,54.5896,54.0217,0.0,0.0,119.662,116.305,115.277,115.217,49.8797,67.0078,118.247,118.247,155.165,0.0,308.345,323.548,292.981,308.348,292.971,323.557,292.866,292.866,321.812,293.043,293.043,343.946,344.782,40.3762,308.348,-0.965135,-0.965135,5.94008,4.0854,0.942569,0.137439,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1409.61,53.7876,38.8243,0.156415,54.3248,0.263077,1409.61,0.00164564
2.000,99.523,100.174,242.807,28.4296,300.777,850.635,232.6,17.6637,1206.38,76.2523,76.2522,76.2117,76.2112,0,0,184.648,184.817,115.467,114.823,1118.56,1129.5,78.1675,77.6524,53.7259,52.5946,0.0,0.0,119.662,119.577,117.022,116.983,41.5881,67.0076,110.937,110.937,150.474,0.0,307.517,321.412,293.501,307.417,293.488,321.227,293.222,293.222,319.575,292.994,292.994,341.665,344.782,40.3762,307.517,-3.94741,-3.94741,6.35416,3.74257,0.861699,0.133017,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,242.807,53.7876,100.0,0.36666,66.8859,0.263839,242.807,0.315036
3.000,83.6571,84.3788,75.5483,8.76425,300.497,850.673,76.3905,5.8422,366.376,78.2822,78.2822,78.2431,78.2427,0,0,219.01,219.088,174.507,173.968,1046.43,1056.31,74.9802,74.2541,46.7267,45.1321,0.0,0.0,119.662,119.662,116.777,116.745,26.4708,67.0075,104.99,104.99,141.636,0.0,306.899,319.485,294.2,306.745,294.184,319.219,293.645,293.645,319.518,292.89,292.89,337.053,344.782,40.3762,306.899,-6.33721,-6.33721,6.3457,3.68682,1.11688,0.132841,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,75.5483,53.7876,100.0,0.534117,76.6818,0.265835,75.5483,24.8554
4.000,73.5418,74.4409,31.3378,8.2826,300.37,850.935,0.0,2.43839,330.895,79.3827,79.3827,79.3372,79.337,0,0,247.451,247.514,198.88,198.491,835.543,854.705,72.7463,71.7072,41.8211,39.5394,0.0,0.0,119.662,119.662,115.651,115.615,6.87039,67.0073,99.8204,99.8204,128.958,0.0,306.543,317.644,295.461,306.35,295.431,317.294,294.501,294.501,318.729,292.729,292.729,329.944,344.782,40.3762,306.543,-7.60685,-7.60685,7.70687,3.58029,1.2618,0.130061,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,31.3378,53.7876,100.0,0.687706,86.0406,0.268697,31.3378,122.904
5.000,66.4788,67.4268,7.966,8.03975,300.273,851.688,0.0,0.696115,321.244,79.7723,79.7722,79.7451,79.745,0,0,245.192,245.246,200.991,200.822,691.372,714.116,71.2762,69.786,38.5928,35.3205,0.0,0.0,119.662,116.821,112.656,112.606,0.0,67.0072,95.6805,95.6805,119.522,0.0,306.893,315.964,298.002,306.685,297.9,315.652,295.913,295.913,316.559,292.509,292.509,319.877,344.782,40.3762,306.893,-8.55014,-8.55014,9.06006,3.35478,1.2618,0.128878,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,7.966,53.7876,100.0,0.821643,92.5079,0.271989,7.966,139.598
6.000,56.8457,57.5521,-9.48016,7.75739,300.192,855.339,0.0,0.0,310.223,79.7051,79.7051,79.6919,79.6919,0,0,231.311,231.378,204.046,204.049,562.05,577.617,69.9709,68.5301,35.7264,32.5625,0.0,0.0,105.804,80.9291,101.233,101.202,0.0,67.007,92.8765,92.8765,119.522,0.0,306.415,315.06,297.56,306.209,297.677,314.546,297.205,297.205,305.513,292.227,292.227,306.304,344.782,40.3762,306.415,-9.50233,-9.50233,10.249,3.10276,1.2618,0.12677,0.0,0.0,0.0,0.0,2.31968e-05,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.925647,96.5359,0.275337,0.0,140.083
7.000,46.3829,46.4164,-17.2518,7.45752,300.124,891.059,0.0,0.0,297.868,79.3311,79.3311,79.3449,79.345,0,0,192.0,192.06,189.56,189.639,424.684,433.972,68.5151,67.4677,32.5296,30.2297,0.0,0.0,109.136,93.0035,85.7289,85.7064,0.0,67.0069,90.2197,90.2197,119.522,0.0,304.765,313.275,295.89,304.879,296.015,313.452,296.293,296.293,300.709,292.117,292.121,300.734,344.782,40.3762,304.969,-9.72019,-9.72019,11.2391,1.83079,1.2618,0.123875,0.0,0.0,1.73848,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.01003,99.1587,0.278496,0.0,142.139
8.000,29.8538,29.5182,-18.9499,7.34951,300.071,1081.92,0.0,0.0,293.225,78.8574,78.8574,78.8702,78.8703,0,0,140.212,140.268,161.76,161.848,283.412,283.002,66.6028,66.395,28.3304,27.874,0.0,0.0,91.9739,83.9476,95.5819,95.5908,0.0,67.0068,88.8187,88.8187,119.522,0.0,303.342,311.902,294.596,303.604,294.666,312.355,295.243,295.243,298.608,292.076,292.089,298.6,344.782,40.3763,303.902,-9.61497,-9.61497,12.023,1.61798,1.2618,0.127362,0.0,0.0275866,3.06544,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.0893,101.354,0.281583,0.0,142.865
9.000,0.0,0.0,-19.3319,7.24009,300.022,1112.67,0.0,0.0,288.827,78.2118,78.2117,78.2175,78.2176,0,0,131.107,131.153,142.787,142.883,112.023,105.918,63.8116,64.5436,23.9319,24.9703,0.0,0.0,94.8875,86.1544,101.544,101.621,0.0,67.0404,86.3396,86.3396,119.522,0.0,302.434,310.956,293.66,302.633,293.731,311.269,293.913,293.912,296.331,292.034,292.058,296.365,344.782,40.3769,302.744,-10.3342,-10.3342,12.618,1.43692,1.2618,0.12623,0.0,8.30985,18.9969,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.15595,103.1,0.284501,0.0,143.326
