Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.415,102.705,1408.31,77.1736,309.056,851.0,381.0,99.9911,3087.84,72.9139,72.9139,72.9005,72.9005,0,0,563.831,563.831,564.85,564.849,1137.02,1140.77,78.3557,78.3484,54.1388,54.123,0.0,0.0,113.995,107.829,105.701,105.795,52.9214,67.0079,150.328,150.328,156.938,0.0345278,309.029,325.667,292.854,309.083,292.854,325.232,292.867,292.867,340.957,293.059,293.059,344.744,344.782,40.3762,309.091,16.5407,16.5407,5.28026,4.55302,0.781814,0.147407,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.31,53.7876,27.6935,0.0,43.514,0.263007,1408.31,0.00164564
1.000,102.011,102.871,1408.62,74.4203,309.056,850.716,381.0,100.007,2968.39,73.0213,73.0212,72.9526,72.9525,0,0,574.055,574.06,558.392,558.39,1134.54,1142.65,78.4503,78.2833,54.3271,53.98,0.0,0.0,113.935,110.795,109.211,109.228,50.4341,67.0078,124.85,124.85,155.557,0.0,309.603,325.781,292.855,308.812,292.852,324.834,292.786,292.786,326.224,293.045,293.045,344.093,344.782,40.3762,309.603,1.2204,1.2204,5.71971,4.22878,0.78497,0.142262,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1408.62,53.7876,28.9913,0.053702,48.2365,0.263016,1408.62,0.00164564
2.000,101.689,102.892,1409.81,77.8374,309.056,850.618,381.0,100.087,3110.98,73.2158,73.2157,73.113,73.1129,0,0,590.206,590.218,552.881,552.854,1130.15,1144.01,78.7345,78.2595,54.8928,53.9277,0.0,0.0,114.411,110.505,106.758,106.716,42.7396,67.0076,120.627,120.627,151.366,0.0,308.614,324.021,293.136,308.571,293.132,323.923,292.942,292.942,324.384,292.999,292.999,341.992,344.782,40.3762,308.614,0.18358,0.18358,6.13196,4.04293,0.801156,0.140421,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,1409.81,53.7876,41.8453,0.110218,51.5988,0.263111,1409.81,0.00164564
3.000,101.293,103.133,1411.33,77.7014,309.056,850.599,381.0,100.195,3106.63,73.4697,73.4697,73.306,73.3059,0,0,601.983,602.001,549.3,549.26,1125.52,1144.83,78.8403,78.2738,55.1034,53.9592,0.0,0.0,115.245,112.371,104.795,104.746,28.9675,67.0075,118.397,118.397,143.503,0.0,308.407,323.3,293.505,308.322,293.5,323.097,293.127,293.127,325.162,292.905,292.905,337.861,344.782,40.3762,308.407,-0.60557,-0.60557,6.52369,3.94848,0.833338,0.139749,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,1411.33,53.7876,83.931,0.16933,55.2734,0.263388,1411.33,0.00164564
4.000,99.5605,100.851,567.014,52.5308,302.761,850.706,310.706,64.8119,2250.36,75.27,75.2699,75.1593,75.1588,0,0,616.92,616.941,534.73,534.694,1119.36,1148.51,78.9761,78.0763,55.3737,53.5255,0.0,0.0,114.673,109.893,105.64,105.586,11.9126,67.0073,117.083,117.083,132.877,0.0,308.365,322.796,293.934,308.291,293.928,322.664,293.284,293.284,325.083,292.77,292.77,331.927,344.782,40.3762,308.365,-1.00342,-1.00342,6.93485,3.89687,0.862636,0.139135,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,567.014,53.7876,100.0,0.220348,58.5221,0.263836,567.014,0.00164564
5.000,99.5725,100.474,143.941,16.9511,300.573,851.044,154.495,11.6814,794.876,77.6659,77.6659,77.6043,77.6039,0,0,222.767,222.86,114.762,114.178,1102.39,1120.82,76.92,75.3886,50.9865,47.6234,0.0,0.0,114.269,109.737,106.592,106.542,0.0,67.0072,115.643,115.643,122.014,0.0,308.343,322.351,294.298,308.274,294.293,322.222,293.409,293.409,322.64,292.625,292.625,325.413,344.782,40.3762,308.343,-1.55629,-1.55629,7.26417,3.8443,0.783042,0.137258,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,143.941,53.7876,100.0,0.270992,62.4535,0.264425,143.941,0.324208
6.000,84.9346,86.5835,50.2809,8.81849,300.421,851.972,0.0,3.91517,353.771,79.0984,79.0983,79.0449,79.0446,0,0,280.624,280.695,217.507,217.06,1042.18,1063.93,74.3736,72.9228,45.3945,42.2087,0.0,0.0,113.998,109.978,108.243,108.202,0.0,67.007,111.991,111.991,119.522,0.0,308.017,321.254,294.698,307.94,294.693,321.119,293.584,293.584,318.937,292.493,292.493,319.289,344.782,40.3762,308.017,-3.03443,-3.03443,7.21915,3.37161,1.02696,0.137856,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,50.2809,53.7876,100.0,0.320501,66.5456,0.265116,50.2809,25.3673
7.000,73.3143,74.9999,17.707,8.4733,300.314,854.995,0.0,1.44199,338.726,79.9943,79.9942,79.9499,79.9497,0,0,308.977,309.037,255.786,255.518,836.112,858.773,72.6581,71.4888,41.6275,39.0597,0.0,0.0,113.362,108.557,107.172,107.175,0.0,67.0069,106.674,106.674,119.522,0.0,307.53,319.595,295.332,307.44,295.323,319.449,294.086,294.086,313.886,292.382,292.382,314.023,344.782,40.3762,307.53,-5.24302,-5.24302,8.52984,1.86851,1.2618,0.134705,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,17.707,53.7876,100.0,0.366855,70.1907,0.265874,17.707,124.631
8.000,65.9192,67.7533,-1.24225,8.19142,300.228,863.67,0.0,0.0369176,327.243,80.5885,80.5885,80.5599,80.5598,0,0,272.009,272.081,229.268,229.109,689.334,712.395,71.1733,70.1475,38.3669,36.1144,0.0,0.0,112.085,108.364,106.22,106.234,0.0,67.0068,101.245,101.245,119.522,0.0,306.902,317.617,296.073,306.855,296.061,317.502,294.925,294.925,309.529,292.293,292.294,309.608,344.782,40.3762,306.902,-6.70597,-6.70597,9.83366,1.72454,1.2618,0.132624,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.409537,73.2161,0.266674,0.0,144.788
9.000,56.1666,57.8192,-15.7098,7.9313,300.15,890.031,0.0,0.0,316.966,80.7671,80.767,80.7485,80.7485,0,0,237.668,237.741,207.7,207.64,552.753,573.575,69.8289,68.8952,35.4147,33.3644,0.0,0.0,111.483,107.558,105.82,105.825,0.0,67.0066,96.8948,96.8948,119.522,0.0,306.3,315.89,296.597,306.261,296.59,315.79,295.674,295.674,305.983,292.224,292.224,306.018,344.782,40.3763,306.3,-7.6927,-7.6927,10.9032,1.52864,1.2618,0.12981,0.0,0.0,0.0,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.44922,75.7166,0.267504,0.0,143.504
