Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT501_VALUE_BAR,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.413,102.707,1408.32,76.6455,309.056,851.004,381.0,99.9915,3071.32,72.9137,72.9137,72.8999,72.8999,0,0,563.834,563.834,564.834,564.833,1137.02,1140.77,78.3557,78.3557,78.3483,54.1388,54.1228,0.0,0.0,113.762,108.182,105.918,106.018,52.9167,67.0079,149.781,149.781,156.936,0.0343281,309.028,325.675,292.852,309.082,292.852,325.227,292.865,292.865,340.637,293.059,293.059,344.743,344.782,40.3762,309.09,16.2334,16.2334,5.28721,4.54815,0.776684,0.14721,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.32,53.7876,27.6935,0.0,43.524,0.263007,1408.32,0.00164564
1.000,102.002,102.87,1408.66,73.7895,309.056,850.714,381.0,100.009,2891.78,73.0259,73.0259,72.9564,72.9563,0,0,574.579,574.583,558.268,558.265,1134.43,1142.7,78.4544,78.4544,78.2828,54.3353,53.9789,0.0,0.0,114.409,110.969,110.073,110.073,50.4076,67.0078,124.534,124.534,155.54,0.0,309.512,325.531,292.853,308.812,292.85,324.835,292.784,292.784,325.87,293.045,293.045,344.085,344.782,40.3762,309.512,1.2639,1.2639,5.7298,4.22194,0.791494,0.142052,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1408.66,53.7876,29.1139,0.0559824,48.4007,0.263017,1408.66,0.00164564
2.000,101.672,102.881,1409.88,77.4813,309.056,850.622,381.0,100.091,3086.4,73.2278,73.2278,73.1256,73.1255,0,0,590.584,590.596,553.035,553.007,1130.05,1143.96,78.7431,78.7431,78.2633,54.91,53.9362,0.0,0.0,114.759,110.571,106.935,106.893,42.6863,67.0076,120.306,120.306,151.332,0.0,308.581,323.936,293.147,308.533,293.143,323.839,292.951,292.951,324.215,292.999,292.999,341.977,344.782,40.3762,308.581,0.0523207,0.0523207,6.14452,4.03545,0.806142,0.140169,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,1409.88,53.7876,42.879,0.114848,51.8902,0.263122,1409.88,0.00164564
3.000,101.271,103.15,1411.38,75.9428,309.056,850.603,381.0,100.198,3025.2,73.478,73.4779,73.31,73.3099,0,0,604.172,604.19,546.2,546.162,1124.79,1145.53,78.8551,78.8551,78.2562,55.1329,53.9206,0.0,0.0,115.422,111.183,106.101,106.051,28.8555,67.0075,117.824,117.824,143.429,0.0,308.338,323.148,293.523,308.254,293.519,322.966,293.139,293.139,324.9,292.904,292.904,337.825,344.782,40.3762,308.338,-0.846049,-0.846049,6.54089,3.93821,0.836379,0.13942,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,1411.38,53.7876,87.3806,0.176438,55.7252,0.263421,1411.38,0.00164564
4.000,99.2672,100.471,264.056,45.5155,301.446,850.714,279.464,24.9332,1931.47,75.8246,75.8245,75.7318,75.7313,0,0,617.166,617.188,534.995,534.958,1119.24,1148.42,78.9567,78.9567,78.0681,55.3353,53.5076,0.0,0.0,114.997,110.453,106.048,105.995,11.6789,67.0073,116.481,116.481,132.711,0.0,308.297,322.633,293.959,308.217,293.953,322.479,293.296,293.296,324.854,292.768,292.768,331.838,344.782,40.3762,308.297,-1.25597,-1.25597,6.95634,3.8854,0.866571,0.138758,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,264.056,53.7876,100.0,0.229808,59.1727,0.263915,264.056,0.00164564
5.000,99.7717,100.624,105.412,12.0681,300.531,851.062,123.253,8.76586,558.919,77.9599,77.9599,77.9031,77.9026,0,0,240.708,240.796,140.646,140.084,1101.37,1119.71,76.3324,76.3324,74.809,49.6959,46.3507,0.0,0.0,114.683,110.273,107.081,107.035,0.0,67.0072,114.685,114.685,121.671,0.0,308.254,322.104,294.352,308.181,294.346,321.978,293.425,293.425,322.303,292.621,292.621,325.211,344.782,40.3762,308.254,-1.97818,-1.97818,7.30439,3.82788,0.795543,0.136709,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,105.412,53.7876,100.0,0.282896,63.3483,0.264553,105.412,0.322923
6.000,85.9028,87.944,41.3123,8.73109,300.394,852.021,0.0,3.23737,349.064,79.2339,79.2338,79.1759,79.1756,0,0,298.884,298.955,234.266,233.854,1041.98,1064.29,74.0348,74.0348,72.6676,44.6507,41.6483,0.0,0.0,114.586,111.242,106.776,106.74,0.0,67.007,110.943,110.943,119.522,0.0,307.927,320.991,294.812,307.857,294.806,320.823,293.656,293.656,318.401,292.481,292.481,318.749,344.782,40.3762,307.927,-3.52231,-3.52231,7.28331,3.3529,1.05062,0.137288,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,41.3123,53.7876,100.0,0.334322,67.5692,0.265295,41.3123,25.2943
7.000,74.5032,76.0947,13.0457,8.39358,300.293,855.17,0.0,1.08186,336.168,80.0415,80.0414,79.997,79.9969,0,0,311.967,312.027,260.447,260.211,837.716,860.43,72.5164,72.5164,71.3284,41.3163,38.7075,0.0,0.0,113.399,108.468,108.604,108.603,0.0,67.0069,105.505,105.505,119.522,0.0,307.374,319.152,295.484,307.317,295.474,319.029,294.214,294.214,313.01,292.364,292.364,313.148,344.782,40.3762,307.374,-5.67047,-5.67047,8.61736,1.85366,1.2618,0.134097,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,13.0457,53.7876,100.0,0.382132,71.246,0.266106,13.0457,124.309
8.000,67.5323,69.274,-4.63844,8.13781,300.21,864.479,0.0,0.0,325.194,80.5474,80.5474,80.5205,80.5204,0,0,271.31,271.384,228.347,228.218,689.322,712.231,71.1645,71.1645,70.0573,38.3476,35.9162,0.0,0.0,112.426,108.689,107.522,107.532,0.0,67.0068,100.093,100.093,119.522,0.0,306.761,317.189,296.196,306.699,296.186,317.096,295.056,295.056,308.627,292.275,292.276,308.704,344.782,40.3762,306.761,-6.98324,-6.98324,9.91322,1.67325,1.2618,0.131963,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.426073,74.2672,0.266959,0.0,143.599
9.000,58.0766,59.5825,-16.3745,7.88127,300.133,892.056,0.0,0.0,314.857,80.6608,80.6607,80.6454,80.6454,0,0,230.704,230.776,205.988,205.948,556.427,576.345,69.8691,69.8691,68.9034,35.5029,33.3823,0.0,0.0,111.413,107.462,105.765,105.768,0.0,67.0066,96.0278,96.0278,119.522,0.0,306.151,315.5,296.679,306.092,296.672,315.42,295.77,295.77,305.252,292.209,292.21,305.276,344.782,40.3763,306.151,-7.86065,-7.86065,10.9656,1.53129,1.2618,0.129325,0.0,0.0,0.0,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.467001,76.7607,0.267844,0.0,143.019
