Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
01:50.000,0.00173574,0.0116376,0.0290092,4.61978,297.231,2262.26,0.0,0.00207036,184.037,39.6967,39.6968,47.1886,47.1827,0,0,0.0,0.0,4.83208,0.0,0.000934927,0.000934875,48.2437,39.8617,22.907,5.68834,68.3216,54.5303,2.28607,1.23175,1.06002,1.04133,0.0,68.3276,3.05297,3.05297,119.522,0.0,276.667,197.7,168.479,276.667,168.264,200.393,168.939,169.521,140.771,136.916,136.915,136.854,344.782,40.5176,276.667,-66.457,-66.457,12.2193,0.0,1.2618,0.179335,0.0,50.4722,50.4722,199.408,199.427,0.0,0.0,0.0,0.0290092,0.0,100.0,1.58914,107.839,0.323882,0.0290092,127.695
01:51.000,0.00129486,0.00970105,0.0275431,4.61206,297.216,2263.68,0.0,0.00196573,183.729,39.5203,39.5203,47.012,47.0061,0,0,0.0,0.0,4.78821,0.0,0.000704725,0.000704686,48.1108,39.1188,22.3032,3.31087,68.2103,54.4058,2.3618,1.26073,1.08543,1.06833,0.0,68.3489,3.09947,3.09947,119.522,0.0,276.667,197.213,168.142,276.667,167.94,199.891,168.603,169.172,141.19,137.164,137.162,137.096,344.782,40.5208,276.667,-65.3798,-65.3798,12.2074,0.0,1.2618,0.178341,0.0,50.4722,50.4722,199.406,199.424,0.0,0.0,0.0,0.0275431,0.0,100.0,1.58016,107.665,0.323744,0.0275431,126.763
01:52.000,0.00419753,0.0119562,0.0261511,4.60447,297.198,2265.09,0.0,0.00186638,183.426,39.3424,39.3425,46.8339,46.828,0,0,0.0,0.0,4.74511,0.0,0.000474016,0.000473989,47.9564,38.4843,21.6245,0.909963,68.0987,54.281,2.43452,1.29298,1.10701,1.08991,0.0,68.3703,3.13897,3.13897,119.522,0.0,276.667,196.752,167.781,276.667,167.591,199.407,168.244,168.803,141.549,137.413,137.412,137.341,344.782,40.524,276.667,-64.4137,-64.4137,12.1992,0.0,1.2618,0.17724,0.0,50.4722,50.4722,199.404,199.422,0.0,0.0,0.0,0.0261511,0.0,100.0,1.57124,107.488,0.323608,0.0261511,125.937
01:53.000,0.0105517,0.000494555,0.0248294,4.59699,297.177,2266.4,0.0,0.00177205,183.128,39.1634,39.1634,46.6539,46.6481,0,0,0.0,0.0,4.69728,0.0,0.000247964,0.00024795,47.7864,38.0404,20.877,0.0,67.9901,54.1604,2.51335,1.32984,1.13004,1.11313,0.0,68.3923,3.18267,3.18267,119.522,0.0,276.667,196.218,167.433,276.667,167.254,198.85,167.901,168.448,141.912,137.664,137.662,137.586,344.782,40.5274,276.667,-63.3286,-63.3286,12.2213,0.0,1.2618,0.177202,0.0,50.4722,50.4722,199.401,199.419,0.0,0.0,0.0,0.0248294,0.0,100.0,1.56239,107.311,0.323472,0.0248294,126.037
01:54.000,0.000867586,0.00364467,0.0235746,4.58954,297.155,2267.63,0.0,0.0016825,182.831,38.9833,38.9834,46.4723,46.4665,0,0,0.0,0.0,4.65007,0.0,2.06605e-05,2.06579e-05,47.5983,37.8221,20.0602,0.0,67.8851,54.0439,2.59839,1.36589,1.15694,1.14001,0.0,68.4148,3.23312,3.23312,119.522,0.0,276.667,195.674,167.125,276.667,166.958,198.322,167.601,168.137,142.323,137.916,137.915,137.833,344.782,40.5308,276.667,-62.1996,-62.1996,12.2366,0.0,1.2618,0.177358,0.0,50.4722,50.4722,199.398,199.416,0.0,0.0,0.0,0.0235746,0.0,100.0,1.55362,107.134,0.323338,0.0235746,126.929
01:55.000,0.00583246,0.010292,0.0223831,4.58217,297.133,2268.8,0.0,0.00159747,182.537,38.8029,38.8029,46.2904,46.2848,0,0,0.0,0.0,4.61472,0.0,0.0,0.0,47.4039,37.8331,19.1852,0.0,67.7848,53.9335,2.67393,1.39398,1.18433,1.16808,0.0,68.4374,3.28227,3.28227,119.522,0.0,276.667,195.09,166.833,276.667,166.677,197.811,167.318,167.843,142.728,138.172,138.17,138.083,344.782,40.5343,276.667,-61.1106,-61.1106,12.2585,0.0,1.2618,0.177627,0.0,50.4722,50.4722,199.396,199.413,0.0,0.0,0.0,0.0223831,0.0,100.0,1.54492,106.956,0.323205,0.0223831,127.906
01:56.000,0.00686954,0.00132721,0.0212519,4.57495,297.111,2269.94,0.0,0.00151673,182.249,38.6221,38.6221,46.1098,46.104,0,0,0.0,0.0,4.61208,0.0,0.0,0.0,47.2009,38.5443,18.2578,0.0,67.6894,53.795,2.73668,1.41325,1.20658,1.19094,0.0,68.4599,3.32808,3.32808,119.522,0.0,276.667,194.449,166.538,276.667,166.394,197.226,167.032,167.547,143.103,138.428,138.426,138.334,344.782,40.5378,276.667,-59.9948,-59.9948,12.2432,0.0,1.2618,0.177048,0.0,50.4722,50.4722,199.394,199.411,0.0,0.0,0.0,0.0212519,0.0,100.0,1.53629,106.777,0.323074,0.0212519,127.808
01:57.000,0.0013187,0.00594399,0.0201779,4.56785,297.089,2271.05,0.0,0.00144008,181.965,38.4401,38.4401,45.93,45.9243,0,0,0.0,0.0,4.59524,0.0,0.0,0.0,46.9788,39.6665,17.2704,0.0,67.5987,53.6662,2.79375,1.42983,1.22517,1.20838,0.0,68.4826,3.3745,3.3745,119.522,0.0,276.667,193.837,166.248,276.667,166.118,196.621,166.755,167.26,143.478,138.686,138.684,138.586,344.782,40.5413,276.667,-58.8586,-58.8586,12.2277,0.0,1.2618,0.175956,0.0,50.4722,50.4722,199.392,199.409,0.0,0.0,0.0,0.0201779,0.0,100.0,1.52773,106.599,0.322943,0.0201779,126.949
01:58.000,0.00470853,0.00769367,0.0191581,4.56085,297.067,2272.18,0.0,0.0013673,181.686,38.2573,38.2573,45.7503,45.7446,0,0,0.0,0.0,4.53946,0.0,0.0,0.0,46.7223,40.5975,16.2031,0.0,67.5107,53.5385,2.85228,1.45318,1.24374,1.22695,0.0,68.5056,3.42275,3.42275,119.522,0.0,276.667,193.284,165.989,276.667,165.868,196.061,166.5,166.995,143.891,138.945,138.943,138.84,344.782,40.545,276.667,-57.7542,-57.7542,12.1993,0.0,1.2618,0.174786,0.0,50.4722,50.4722,199.389,199.406,0.0,0.0,0.0,0.0191581,0.0,100.0,1.51925,106.42,0.322814,0.0191581,126.171
01:59.000,0.0066862,0.00113653,0.0181899,4.55393,297.045,2273.34,0.0,0.0012982,181.411,38.0735,38.0735,45.5696,45.5639,0,0,0.0,0.0,4.53313,0.0,0.0,0.0,46.4543,41.353,15.0744,0.0,67.4257,53.4133,2.92195,1.48565,1.26224,1.24594,0.0,68.5289,3.46864,3.46864,119.522,0.0,276.667,192.855,165.74,276.667,165.629,195.591,166.251,166.736,144.295,139.204,139.202,139.094,344.782,40.5486,276.667,-56.7724,-56.7724,12.1944,0.0,1.2618,0.17441,0.0,50.4722,50.4722,199.386,199.403,0.0,0.0,0.0,0.0181899,0.0,100.0,1.51084,106.24,0.322686,0.0181899,126.219
