Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT501_VALUE_BAR,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.449,102.669,1408.26,85.0815,309.056,850.843,381.0,99.9868,3413.59,72.9125,72.9125,72.9056,72.9056,0,0,563.639,563.639,564.949,564.948,1137.07,1140.74,78.3545,78.3545,78.3486,54.1363,54.1234,0.0,0.0,109.092,105.095,103.382,103.405,52.9552,67.0079,155.282,155.282,156.961,0.036747,309.039,325.439,292.865,309.092,292.865,325.267,292.879,292.879,342.762,293.059,293.059,344.753,344.782,40.3762,309.1,19.4165,19.4165,5.1647,4.62376,0.712891,0.152766,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.26,53.7876,27.6934,0.0,43.4057,0.263007,1408.26,0.00164564
1.000,102.193,102.81,1408.39,84.1089,309.056,850.715,381.0,99.9936,3399.54,72.9654,72.9654,72.9203,72.9203,0,0,569.481,569.483,560.362,560.362,1135.61,1142.01,78.4081,78.4081,78.3021,54.2432,54.0214,0.0,0.0,109.641,106.187,104.03,104.04,50.8886,67.0078,134.655,134.655,155.826,0.00238231,309.426,326.044,292.844,308.886,292.843,324.936,292.807,292.807,331.694,293.047,293.047,344.214,344.782,40.3762,309.426,7.13816,7.13816,5.53389,4.37104,0.737184,0.146577,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1408.39,53.7876,28.0496,0.0272777,46.1786,0.263008,1408.39,0.00164564
2.000,101.832,102.937,1409.08,87.7026,309.056,850.597,381.0,100.039,3484.01,73.1033,73.1033,73.0109,73.0108,0,0,582.512,582.521,554.309,554.294,1132.23,1143.66,78.6044,78.6044,78.2545,54.6338,53.9169,0.0,0.0,110.536,107.264,103.992,103.955,43.9022,67.0076,127.144,127.144,152.047,0.0,309.544,325.868,293.001,308.901,292.999,324.778,292.864,292.864,328.023,293.005,293.005,342.319,344.782,40.3762,309.544,2.6182,2.6182,5.90178,4.18828,0.733791,0.14466,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,1409.08,53.7876,33.3105,0.0634663,48.4559,0.26303,1409.08,0.00164564
3.000,101.483,103.107,1410.22,88.9451,309.056,850.562,381.0,100.117,3539.24,73.2991,73.2991,73.1562,73.1561,0,0,597.225,597.239,547.009,546.981,1127.71,1145.45,78.8046,78.8046,78.2095,55.0324,53.818,0.0,0.0,110.574,107.303,103.824,103.759,31.2196,67.0075,127.419,127.419,144.909,0.0,309.5,325.802,293.269,308.833,293.266,324.401,292.994,292.994,329.138,292.919,292.919,338.572,344.782,40.3762,309.5,2.86051,2.86051,6.21729,4.12184,0.748866,0.145581,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,1410.22,53.7876,48.6026,0.0961984,50.457,0.263107,1410.22,0.00164564
4.000,101.31,103.275,1411.34,88.8935,309.056,850.635,381.0,100.198,3545.67,73.4861,73.486,73.3092,73.3091,0,0,609.163,609.181,538.567,538.535,1122.93,1147.82,78.9464,78.9464,78.0993,55.3146,53.5761,0.0,0.0,110.325,106.996,103.666,103.587,16.7597,67.0073,130.271,130.271,136.174,0.0,309.943,326.519,293.599,308.92,293.596,324.289,293.128,293.128,330.195,292.809,292.809,333.727,344.782,40.3762,309.943,3.95298,3.95298,6.5163,4.12573,0.77603,0.146618,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,1411.34,53.7876,73.9359,0.125073,52.2221,0.263247,1411.34,0.00164564
5.000,99.5322,100.613,264.909,47.4326,301.446,850.912,279.464,24.9341,2015.76,75.73,75.7299,75.6493,75.6488,0,0,612.637,612.656,533.116,533.087,1120.32,1149.73,78.9754,78.9754,77.9796,55.3724,53.3132,0.0,0.0,109.604,106.306,103.826,103.786,5.99562,67.0072,128.369,128.369,129.128,0.0,310.17,326.35,293.888,309.081,293.885,324.295,293.211,293.211,328.535,292.716,292.716,329.609,344.782,40.3762,310.17,2.91951,2.91951,6.83596,4.10084,0.817782,0.144235,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,264.909,53.7876,100.0,0.152116,53.8633,0.263449,264.909,0.00164564
6.000,100.09,100.743,105.421,12.3496,300.531,851.417,123.253,8.76708,573.729,77.843,77.8429,77.8049,77.8045,0,0,229.648,229.734,148.193,147.642,1103.68,1121.73,76.3016,76.3016,74.8553,49.6284,46.4523,0.0,0.0,110.336,107.091,103.937,103.885,0.0,67.007,124.982,124.982,123.392,0.0,309.644,325.248,294.105,309.572,294.102,325.036,293.25,293.25,325.549,292.639,292.639,326.126,344.782,40.3762,309.644,0.797526,0.797526,7.08273,4.0415,0.717137,0.142433,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,105.421,53.7876,100.0,0.17744,55.454,0.263702,105.421,0.336551
7.000,86.4062,88.0267,41.2984,8.86246,300.394,852.982,0.0,3.23734,354.596,79.1884,79.1884,79.1368,79.1366,0,0,286.461,286.531,245.721,245.315,1045.5,1065.97,74.0311,74.0311,72.9108,44.6425,42.1823,0.0,0.0,110.279,107.189,103.954,103.932,0.0,67.0069,118.545,118.545,119.522,0.0,309.113,323.577,294.339,308.995,294.336,323.221,293.394,293.394,322.369,292.578,292.578,323.306,344.782,40.3762,309.113,-0.782335,-0.782335,6.971,3.64336,0.928809,0.141446,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,41.2984,53.7876,100.0,0.203365,57.4399,0.263999,41.2984,25.8663
8.000,74.581,75.8898,13.0519,8.51567,300.293,856.351,0.0,1.08057,340.415,79.9809,79.9808,79.9414,79.9412,0,0,323.843,323.903,276.44,276.202,839.525,861.989,72.7637,72.7637,71.8018,41.8594,39.7471,0.0,0.0,109.655,106.677,103.217,103.22,0.0,67.0068,113.742,113.742,119.522,0.0,308.51,322.038,294.853,308.39,294.847,321.781,293.911,293.911,318.941,292.488,292.488,319.088,344.782,40.3762,308.51,-2.57473,-2.57473,8.15813,1.89967,1.2618,0.138377,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,13.0519,53.7876,100.0,0.229242,59.6727,0.264324,13.0519,125.463
9.000,67.3992,68.3064,-4.63271,8.23136,300.209,861.828,0.0,0.0,328.897,80.4526,80.4526,80.4095,80.4094,0,0,313.547,313.623,269.967,269.844,690.411,713.288,71.7066,71.7066,70.9715,39.5381,37.9239,0.0,0.0,108.548,105.663,102.778,102.797,0.0,67.0066,108.362,108.362,119.522,0.0,307.996,320.29,295.565,307.888,295.557,320.064,294.753,294.753,314.829,292.401,292.402,314.918,344.782,40.3763,307.996,-4.69493,-4.69493,9.41638,1.76116,1.2618,0.136482,0.0,0.0,0.0,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.254564,61.8855,0.264671,0.0,148.529
