Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT501_VALUE_BAR,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.191,102.692,1406.05,39.2921,309.056,851.007,381.0,99.8433,1670.0,72.9482,72.9482,72.915,72.915,0,0,562.609,562.609,563.353,563.347,1137.0,1140.84,78.3517,78.3517,78.3425,54.1304,54.1102,0.0,0.0,119.662,116.04,113.235,113.309,52.7749,67.0079,129.658,129.658,156.841,0.0181614,309.106,326.381,292.764,309.009,292.764,324.946,292.773,292.773,333.914,293.058,293.058,344.706,344.782,40.3762,309.112,3.70494,3.70494,6.09848,3.34322,1.2618,0.143077,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1406.05,53.7876,27.6983,0.0114971,44.7376,0.263007,1406.05,0.00164564
1.000,101.204,102.143,1405.61,31.4295,307.25,850.698,357.568,99.7959,1266.12,73.738,73.7378,73.6624,73.662,0,0,585.477,585.568,559.856,559.811,1130.87,1141.62,78.6156,78.6156,78.3271,54.6561,54.0763,0.0,0.0,119.662,117.846,117.621,117.621,49.6558,67.0078,116.715,116.715,154.995,0.0,308.152,323.144,293.021,308.155,293.003,323.178,292.887,292.887,321.025,293.042,293.042,343.887,344.782,40.3762,308.155,-1.64005,-1.64005,7.33855,3.19952,1.2618,0.138916,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1405.61,53.7876,42.7391,0.207263,57.3899,0.263091,1405.61,0.00164564
2.000,99.0782,99.7015,201.354,10.6603,300.627,850.647,201.359,15.7372,443.604,76.9571,76.9551,76.9198,76.9184,0,0,164.132,165.82,105.456,104.367,1110.78,1120.7,77.4818,77.4818,76.9184,52.22,50.9828,0.0,0.0,119.662,119.662,119.662,119.662,40.9241,67.0076,108.645,108.645,150.025,0.0,307.332,320.841,293.655,307.247,293.631,320.691,293.292,293.292,318.595,292.99,292.99,341.476,344.782,40.3762,307.332,-5.03849,-5.03849,8.49799,3.0401,1.2618,0.132957,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,201.354,53.7876,100.0,0.447404,70.7082,0.264223,201.354,0.315078
3.000,84.3649,84.9535,63.6374,8.2628,300.426,850.688,45.1485,4.86466,330.969,79.3817,79.3791,79.3533,79.3518,0,0,138.678,140.712,101.384,100.112,1039.33,1048.52,74.056,74.056,73.2671,44.6971,42.9647,0.0,0.0,119.662,119.662,119.533,119.542,24.7962,67.0075,101.924,101.924,140.513,0.0,306.65,318.702,294.522,306.503,294.493,318.425,293.805,293.805,318.454,292.881,292.881,336.655,344.782,40.3762,306.65,-7.37888,-7.37888,8.96821,2.85354,1.2618,0.133477,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,63.6374,53.7876,100.0,0.64559,81.9829,0.266995,63.6374,27.0703
4.000,73.1911,73.8355,25.1295,7.9366,300.305,850.988,0.0,1.96871,317.189,80.9393,80.9369,80.9121,80.9108,0,0,107.553,109.4,71.4544,70.4614,822.094,835.992,70.9853,70.9853,69.8791,37.9541,35.525,0.0,0.0,119.662,119.662,118.856,118.859,5.18393,67.0073,96.8881,96.8881,127.651,0.0,306.469,316.827,296.221,306.294,296.154,316.471,294.868,294.868,317.629,292.714,292.714,329.252,344.782,40.3762,306.469,-8.634,-8.634,11.6961,2.30928,1.2618,0.137554,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,25.1295,53.7876,100.0,0.823572,91.4295,0.270875,25.1295,118.402
5.000,64.9158,65.4705,3.96445,7.69008,300.215,851.859,0.0,0.397139,307.134,81.8895,81.8874,81.8715,81.8702,0,0,78.548,80.0945,53.5232,52.7666,674.383,682.552,68.1586,68.1586,66.764,31.7469,28.6844,0.0,0.0,116.464,96.2755,102.847,102.845,0.0,67.0072,93.739,93.739,119.522,0.0,306.683,315.389,297.785,306.575,297.878,315.064,297.481,297.481,315.892,292.473,292.473,318.195,344.782,40.3762,306.683,-9.2532,-9.2532,12.618,1.9892,1.2618,0.139632,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,3.96446,53.7876,100.0,0.974923,97.6324,0.275304,3.96445,129.184
6.000,53.4321,53.6158,-12.8032,7.54711,300.137,860.181,0.0,0.0,300.884,82.3747,82.3731,82.3774,82.3775,0,0,57.2647,58.5658,42.5462,41.9169,529.12,536.331,65.5061,65.5061,64.1561,25.9221,22.9575,0.0,0.0,111.147,83.3288,81.5945,81.5952,0.0,67.007,91.8625,91.8625,119.522,0.0,305.878,314.541,296.889,305.759,297.076,314.218,296.946,296.946,304.006,292.195,292.195,304.657,344.782,40.3762,305.878,-9.67224,-9.67224,12.618,1.83831,1.2618,0.137725,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.06879,100.964,0.279253,0.0,128.997
7.000,38.3539,38.4336,-18.0535,7.46486,300.067,952.034,0.0,0.0,297.468,82.3521,82.3506,82.3528,82.3561,0,0,44.0517,44.8097,49.1472,51.0144,371.804,373.84,62.9228,62.9228,62.0312,20.2493,18.2915,0.0,0.0,93.5489,81.4279,91.587,91.5924,0.0,67.0069,90.1675,90.1675,119.522,0.0,304.181,312.748,295.359,304.421,295.462,313.127,295.834,295.834,299.877,292.102,292.109,299.893,344.782,40.3762,304.627,-9.4319,-9.4319,12.618,1.97508,1.2618,0.135052,0.0,0.0,1.73385,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.14965,103.119,0.282672,0.0,130.168
8.000,7.70134,7.76433,-19.0859,7.39419,300.016,1177.43,0.0,0.0,295.091,82.1312,82.129,82.1276,82.1321,0,0,21.7619,22.9822,19.7444,29.6239,201.109,202.635,60.386,60.386,59.9407,14.6786,13.7009,0.0,0.0,71.8585,60.6519,91.121,91.1169,0.0,67.0068,88.6122,88.6122,119.522,0.0,302.929,311.388,294.256,303.021,294.346,311.454,294.178,294.178,297.486,292.055,292.075,297.45,344.782,40.3763,303.021,-8.86149,-8.86149,12.618,2.11151,1.2618,0.135894,0.0,0.027577,3.06361,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.21768,104.809,0.285831,0.0,131.365
9.000,0.0,0.0,-19.2104,7.2314,299.967,1203.87,0.0,0.0,289.001,81.9619,81.9605,81.9574,81.9626,0,0,14.9109,16.9121,11.3641,21.0326,0.0,0.0,58.1067,58.1067,57.9118,9.67354,9.24535,0.0,0.0,95.0557,79.7151,92.2328,92.263,0.0,67.049,89.2133,89.2133,119.522,0.0,302.692,311.269,294.117,302.774,294.222,311.27,294.106,294.107,297.563,292.06,292.093,297.534,344.782,40.377,302.774,-8.24897,-8.24897,12.618,2.52781,1.2618,0.140127,0.0,5.76055,16.968,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.27843,106.225,0.288646,0.0,133.109
