Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
04:30.000,0.461919,1.46451,7.27e-06,3.93537,295.638,2323.13,0.0,5.183e-07,156.757,17.5038,17.5038,22.891,22.8881,0,0,0.0,0.0,2.523,0.0,0.0,0.0,57.8945,54.4273,20.3773,22.44,52.8113,47.5501,4.3371,2.01917,1.71722,1.68459,0.0,70.7639,4.96584,4.96584,119.522,0.0,276.667,167.453,160.403,276.667,160.758,169.106,161.377,161.379,157.113,157.238,157.27,160.229,344.782,40.977,276.667,-16.8303,-16.8303,11.3932,0.0,1.2618,0.134287,18.5532,50.4722,50.4722,198.885,198.896,0.0,0.0,0.0,7.26638e-06,0.0,100.0,0.703923,78.4888,0.312253,7.26638e-06,128.717
04:31.000,0.444309,1.42905,6.9e-06,3.93271,295.636,2324.43,0.0,4.9274e-07,156.65,17.4374,17.4374,22.813,22.8101,0,0,0.0,0.0,2.50548,0.0,0.0,0.0,57.9516,54.4858,20.6082,22.5584,52.7889,49.2962,4.84381,1.95017,1.71271,1.6792,0.0,70.7841,4.91524,4.91524,119.522,0.0,276.667,167.224,160.153,276.667,160.512,168.881,161.128,161.13,156.783,156.927,156.958,160.096,344.782,40.981,276.667,-16.9722,-16.9722,11.3661,0.0,1.2618,0.133471,18.5441,50.4722,50.4722,198.881,198.891,0.0,0.0,0.0,6.89916e-06,0.0,100.0,0.701174,78.3458,0.312209,6.89916e-06,127.98
04:32.000,0.443718,1.42121,6.55e-06,3.93004,295.633,2325.87,0.0,4.6718e-07,156.544,17.3711,17.3711,22.7357,22.7328,0,0,0.0,0.0,2.4972,0.0,0.0,0.0,58.0103,54.5467,20.824,22.717,52.7163,46.5963,4.7849,1.9442,1.71097,1.67637,0.0,70.7937,4.86569,4.86569,119.522,0.0,276.667,167.0,159.898,276.667,160.258,168.649,160.872,160.875,156.459,156.589,156.62,159.95,344.782,40.9836,276.667,-17.1048,-17.1048,11.367,0.0,1.2618,0.133922,18.5373,50.4722,50.4722,198.876,198.887,0.0,0.0,0.0,6.55049e-06,0.0,100.0,0.69792,78.1927,0.312164,6.55049e-06,128.356
04:33.000,0.434042,1.36814,6.22e-06,3.9274,295.63,2327.18,0.0,4.4375e-07,156.439,17.3056,17.3056,22.6596,22.6568,0,0,0.0,0.0,2.50432,0.0,0.0,0.0,58.0763,54.6048,21.048,22.8424,52.6772,47.1058,4.74169,1.94783,1.71197,1.67676,0.0,70.8122,4.81877,4.81877,119.522,0.0,276.667,166.777,159.655,276.667,160.018,168.421,160.628,160.631,156.142,156.274,156.306,159.818,344.782,40.9873,276.667,-17.2262,-17.2262,11.3927,0.0,1.2618,0.135013,18.5361,50.4722,50.4722,198.872,198.883,0.0,0.0,0.0,6.21944e-06,0.0,100.0,0.694967,78.0451,0.312119,6.21944e-06,129.003
04:34.000,0.424686,1.32813,5.91e-06,3.92476,295.629,2328.55,0.0,4.2174e-07,156.334,17.2403,17.2403,22.5832,22.5803,0,0,0.0,0.0,2.48968,0.0,0.0,0.0,58.1307,54.6668,21.2644,22.9606,52.659,49.3072,4.84786,1.91448,1.70806,1.67224,0.0,70.8322,4.77041,4.77041,119.522,0.0,276.667,166.535,159.39,276.667,159.759,168.189,160.372,160.375,155.814,155.951,155.983,159.68,344.782,40.9912,276.667,-17.3587,-17.3587,11.4301,0.0,1.2618,0.136194,18.5272,50.4722,50.4722,198.868,198.878,0.0,0.0,0.0,5.90512e-06,0.0,100.0,0.691831,77.894,0.312074,5.90512e-06,129.57
04:35.000,0.422636,1.3239,5.61e-06,3.92213,295.629,2329.93,0.0,4.0044e-07,156.229,17.1753,17.1754,22.5072,22.5044,0,0,0.0,0.0,2.48076,0.0,0.0,0.0,58.1835,54.7261,21.4722,23.1212,52.5883,46.9087,4.46406,1.93825,1.70536,1.66872,0.0,70.843,4.72226,4.72226,119.522,0.0,276.667,166.309,159.152,276.667,159.511,167.95,160.115,160.118,155.493,155.625,155.656,159.545,344.782,40.9944,276.667,-17.489,-17.489,11.4227,0.0,1.2618,0.135312,18.5207,50.4722,50.4722,198.864,198.875,0.0,0.0,0.0,5.60669e-06,0.0,100.0,0.688638,77.7414,0.31203,5.60669e-06,129.376
04:36.000,0.422121,1.28265,5.32e-06,3.91951,295.629,2331.22,0.0,3.7985e-07,156.125,17.1108,17.1108,22.4325,22.4297,0,0,0.0,0.0,2.48799,0.0,0.0,0.0,58.2333,54.7821,21.6801,23.2528,52.5406,46.6891,4.61136,1.9192,1.70311,1.66564,0.0,70.8647,4.67675,4.67675,119.522,0.0,276.667,166.077,158.923,276.667,159.268,167.717,159.863,159.866,155.192,155.314,155.345,159.418,344.782,40.9986,276.667,-17.6092,-17.6092,11.3958,0.0,1.2618,0.13404,18.5157,50.4722,50.4722,198.86,198.871,0.0,0.0,0.0,5.32334e-06,0.0,100.0,0.685531,77.5904,0.311985,5.32334e-06,128.731
04:37.000,0.409958,1.24313,5.05e-06,3.9169,295.627,2332.49,0.0,3.6068e-07,156.021,17.0465,17.0465,22.3574,22.3546,0,0,0.0,0.0,2.47378,0.0,0.0,0.0,58.286,54.8404,21.8807,23.3664,52.5252,49.2559,4.59069,1.91741,1.69813,1.66011,0.0,70.8752,4.63004,4.63004,119.522,0.0,276.667,165.851,158.65,276.667,159.01,167.484,159.608,159.611,154.869,154.995,155.026,159.289,344.782,41.0018,276.667,-17.7426,-17.7426,11.3668,0.0,1.2618,0.133038,18.513,50.4722,50.4722,198.856,198.866,0.0,0.0,0.0,5.05431e-06,0.0,100.0,0.682333,77.437,0.31194,5.05431e-06,127.946
04:38.000,0.398397,1.25868,4.8e-06,3.91431,295.623,2333.68,0.0,3.4222e-07,155.917,16.9828,16.9828,22.2823,22.2795,0,0,0.0,0.0,2.46088,0.0,0.0,0.0,58.3416,54.8941,22.0819,23.521,52.4573,47.2277,4.38816,1.93193,1.69588,1.65745,0.0,70.8906,4.58609,4.58609,119.522,0.0,276.667,165.624,158.404,276.667,158.765,167.251,159.359,159.362,154.57,154.69,154.721,159.168,344.782,41.0051,276.667,-17.8602,-17.8602,11.3649,0.0,1.2618,0.133405,18.5051,50.4722,50.4722,198.851,198.862,0.0,0.0,0.0,4.79887e-06,0.0,100.0,0.679269,77.2861,0.311896,4.79887e-06,128.256
04:39.000,0.397539,1.21434,4.56e-06,3.91172,295.618,2334.84,0.0,3.2518e-07,155.814,16.9193,16.9193,22.2086,22.2058,0,0,0.0,0.0,2.4671,0.0,0.0,0.0,58.3964,54.9479,22.2808,23.6546,52.4011,46.3199,4.58922,1.90932,1.69375,1.65503,0.0,70.9075,4.54259,4.54259,119.522,0.0,276.667,165.387,158.145,276.667,158.513,167.025,159.11,159.114,154.261,154.391,154.422,159.052,344.782,41.0089,276.667,-17.9854,-17.9854,11.3897,0.0,1.2618,0.134437,18.5011,50.4722,50.4722,198.847,198.858,0.0,0.0,0.0,4.55635e-06,0.0,100.0,0.67621,77.135,0.311851,4.55635e-06,128.887
