Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT501_VALUE_BAR,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
04:36.000,0.335273,1.19591,5.3e-06,3.91887,295.611,2361.91,0.0,3.7772e-07,156.099,16.6561,16.6561,22.2503,22.2475,0,0,0.0,0.0,2.50011,0.0,0.0,0.0,58.9358,58.9358,55.1432,24.816,24.0048,52.908,47.8305,3.74601,1.83146,1.57652,1.53357,0.0,70.8363,3.91309,3.91309,119.522,0.0,276.667,163.678,155.081,276.667,155.475,165.502,156.068,156.077,149.675,149.786,149.821,157.414,344.782,40.9939,276.667,-22.0663,-22.0663,11.3973,0.0,1.2618,0.130673,0.0,50.4722,50.4722,198.945,198.957,0.0,0.0,0.0,5.2958e-06,0.0,100.0,0.627589,76.7306,0.309105,5.2958e-06,128.482
04:37.000,0.353344,1.16847,5.03e-06,3.91627,295.611,2361.33,0.0,3.5855e-07,155.995,16.5947,16.5947,22.1776,22.1748,0,0,0.0,0.0,2.47581,0.0,0.0,0.0,59.0155,59.0155,55.1869,25.0123,24.0881,52.8782,48.9235,4.03062,1.8064,1.57972,1.5367,0.0,70.8503,3.87804,3.87804,119.522,0.0,276.667,163.426,154.834,276.667,155.218,165.242,155.803,155.812,149.404,149.524,149.56,157.337,344.782,40.997,276.667,-22.1486,-22.1486,11.3697,0.0,1.2618,0.129719,0.0,50.4722,50.4722,198.942,198.953,0.0,0.0,0.0,5.02816e-06,0.0,100.0,0.624974,76.5929,0.309063,5.02816e-06,127.758
04:38.000,0.371732,1.16212,4.77e-06,3.91367,295.611,2360.81,0.0,3.408e-07,155.892,16.5328,16.5328,22.1055,22.1027,0,0,0.0,0.0,2.46964,0.0,0.0,0.0,59.039,59.039,55.2342,25.1843,24.2066,52.8048,46.1156,4.11459,1.81762,1.58599,1.54265,0.0,70.8704,3.84493,3.84493,119.522,0.0,276.667,163.188,154.57,276.667,154.961,164.983,155.544,155.553,149.147,149.275,149.31,157.267,344.782,41.001,276.667,-22.2176,-22.2176,11.371,0.0,1.2618,0.130015,0.0,50.4722,50.4722,198.938,198.949,0.0,0.0,0.0,4.77404e-06,0.0,100.0,0.622323,76.4547,0.309022,4.77404e-06,128.134
04:39.000,0.375662,1.12562,4.53e-06,3.91109,295.611,2360.25,0.0,3.2376e-07,155.789,16.4708,16.4709,22.0343,22.0315,0,0,0.0,0.0,2.47446,0.0,0.0,0.0,58.9899,58.9899,55.2783,25.3248,24.2732,52.7793,47.7963,4.08247,1.83484,1.59032,1.54621,0.0,70.886,3.81339,3.81339,119.522,0.0,276.667,162.945,154.325,276.667,154.71,164.732,155.287,155.296,148.903,149.037,149.073,157.199,344.782,41.004,276.667,-22.2809,-22.2809,11.3986,0.0,1.2618,0.131022,0.0,50.4722,50.4722,198.934,198.945,0.0,0.0,0.0,4.53277e-06,0.0,100.0,0.619661,76.3164,0.308982,4.53277e-06,128.776
04:40.000,0.381361,1.10934,4.3e-06,3.90851,295.611,2359.71,0.0,3.0743e-07,155.686,16.4104,16.4104,21.9622,21.9594,0,0,0.0,0.0,2.45316,0.0,0.0,0.0,58.9261,58.9261,55.3272,25.4505,24.3458,52.7517,48.8846,3.85935,1.86566,1.59143,1.54694,0.0,70.905,3.78202,3.78202,119.522,0.0,276.667,162.692,154.058,276.667,154.454,164.495,155.038,155.047,148.665,148.801,148.837,157.135,344.782,41.008,276.667,-22.3597,-22.3597,11.4381,0.0,1.2618,0.13213,0.0,50.4722,50.4722,198.93,198.941,0.0,0.0,0.0,4.30369e-06,0.0,100.0,0.616979,76.1775,0.308941,4.30369e-06,129.325
04:41.000,0.758093,1.10462,4.09e-06,3.90595,295.611,2359.15,0.0,2.9181e-07,155.584,16.3504,16.3504,21.8909,21.8881,0,0,0.0,0.0,2.44933,0.0,0.0,0.0,58.9228,58.9228,55.3763,25.593,24.4579,52.7586,46.08,4.07511,1.84705,1.59438,1.54873,0.0,70.9164,3.75169,3.75169,119.522,0.0,276.667,162.453,153.818,276.667,154.208,164.245,154.786,154.795,148.419,148.564,148.6,157.072,344.782,41.0109,276.667,-22.4176,-22.4176,11.433,0.0,1.2618,0.131216,0.0,50.4722,50.4722,198.926,198.938,0.0,0.0,0.0,4.08619e-06,0.0,100.0,0.614323,76.0393,0.308902,4.08619e-06,129.136
04:42.000,0.0881083,1.05913,3.88e-06,3.90339,295.611,2358.54,0.0,2.769e-07,155.482,16.3182,16.3182,21.8205,21.8178,0,0,0.0,0.0,2.45637,0.0,0.0,0.0,64.8292,64.8292,55.424,26.3233,24.5236,52.6733,47.7901,3.91381,1.84989,1.59716,1.55073,0.0,70.9406,3.72208,3.72208,119.522,0.0,276.667,162.217,153.618,276.667,153.979,164.002,154.539,154.548,148.205,148.329,148.365,157.01,344.782,41.0156,276.667,-22.478,-22.478,11.4072,0.0,1.2618,0.129988,0.0,50.4722,50.4722,198.923,198.934,0.0,0.0,0.0,3.87968e-06,0.0,100.0,0.611642,75.9003,0.308862,3.87968e-06,128.499
04:43.000,2.2313,1.04181,3.68e-06,3.90084,295.611,2363.12,0.0,2.627e-07,155.381,16.3414,16.3414,21.7493,21.7466,0,0,0.292897,0.291406,2.43501,0.0,0.0,0.0,64.4622,64.4622,55.4758,23.6298,24.5991,52.5474,48.9502,3.99308,1.82163,1.60507,1.55984,0.0,70.9616,3.69323,3.69323,119.522,0.0,276.667,162.042,153.426,276.667,153.77,163.745,154.3,154.31,148.0,148.108,148.144,156.951,344.782,41.0197,276.667,-22.5191,-22.5191,11.3785,0.0,1.2618,0.129242,0.0,50.4722,50.4722,198.918,198.93,0.0,0.0,0.0,3.68361e-06,0.0,100.0,0.609032,75.7628,0.308824,3.68361e-06,127.813
04:44.000,0.0,1.03635,3.5e-06,3.89832,295.611,2361.66,0.0,2.4992e-07,155.28,16.3543,16.3543,21.6795,21.6767,0,0,0.170069,0.16867,2.40817,0.0,0.0,0.0,63.3637,63.3637,55.52,21.2175,24.7027,52.3993,46.2108,3.92286,1.77218,1.57866,1.53309,0.0,70.9697,3.64674,3.64674,119.522,0.0,276.667,161.748,153.108,276.667,153.492,163.571,154.038,154.047,147.691,147.944,147.98,156.768,344.782,41.0223,276.667,-22.8315,-22.8315,11.3757,0.0,1.2618,0.129767,0.0,50.4722,50.4722,198.915,198.926,0.0,0.0,0.0,3.49745e-06,0.0,100.0,0.606775,75.6329,0.308785,3.49745e-06,128.041
04:45.000,0.0,0.986628,3.32e-06,3.89579,295.611,2359.84,0.0,2.3714e-07,155.18,16.3559,16.3559,21.6107,21.6079,0,0,0.0,0.0,2.44424,0.0,0.0,0.0,62.474,62.474,55.5872,19.2638,24.7939,52.3178,47.9714,3.7854,1.74521,1.57789,1.52805,0.0,70.9905,3.62045,3.62045,119.522,0.0,276.667,161.603,152.864,276.667,153.24,163.292,153.767,153.777,147.444,147.627,147.663,156.673,344.782,41.0264,276.667,-22.8301,-22.8301,11.3987,0.0,1.2618,0.130902,0.0,50.4722,50.4722,198.911,198.922,0.0,0.0,0.0,3.32069e-06,0.0,100.0,0.604412,75.5013,0.308748,3.32069e-06,128.689
