Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT501_VALUE_BAR,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.423,102.702,1408.3,77.6844,309.056,850.989,381.0,99.9902,3118.6,72.9121,72.9121,72.8997,72.8998,0,0,563.659,563.659,564.775,564.774,1137.05,1140.78,78.3545,78.3545,78.3477,54.1363,54.1215,0.0,0.0,113.532,107.754,105.517,105.61,52.9086,67.0079,150.049,150.049,156.932,0.0347689,309.03,325.494,292.849,309.084,292.85,325.221,292.863,292.863,340.674,293.059,293.059,344.741,344.782,40.3762,309.092,16.5613,16.5613,5.2774,4.55436,0.789058,0.147561,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.3,53.7876,27.6935,0.0,43.5021,0.263007,1408.3,0.00164564
1.000,102.021,102.872,1408.59,75.1605,309.056,850.719,381.0,100.006,3115.53,73.0159,73.0159,72.9481,72.9481,0,0,573.462,573.467,558.649,558.647,1134.7,1142.58,78.4445,78.4445,78.2844,54.3156,53.9825,0.0,0.0,113.506,111.542,106.235,106.268,50.4452,67.0078,125.499,125.499,155.566,0.0,309.695,326.088,292.856,308.815,292.853,324.835,292.791,292.791,326.741,293.045,293.045,344.096,344.782,40.3762,309.695,1.33657,1.33657,5.7125,4.23499,0.776467,0.142468,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1408.59,53.7876,28.8686,0.0512363,48.0568,0.263014,1408.59,0.00164564
2.000,101.682,102.923,1409.74,79.2787,309.056,850.615,381.0,100.082,3143.83,73.2069,73.2069,73.101,73.1009,0,0,589.957,589.969,552.707,552.681,1130.24,1144.07,78.7303,78.7303,78.2568,54.8844,53.9218,0.0,0.0,114.064,110.253,106.566,106.524,42.7702,67.0076,120.973,120.973,151.388,0.0,308.656,324.116,293.124,308.615,293.119,324.02,292.934,292.933,324.572,292.999,292.999,342.001,344.782,40.3762,308.656,0.321655,0.321655,6.12208,4.05023,0.798101,0.14065,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,1409.74,53.7876,40.7708,0.105402,51.2913,0.263099,1409.74,0.00164564
3.000,101.379,103.092,1411.22,78.6956,309.056,850.595,381.0,100.186,3116.42,73.4422,73.4421,73.2905,73.2904,0,0,600.853,600.871,549.193,549.154,1125.9,1144.85,78.8341,78.8341,78.2575,55.0911,53.9234,0.0,0.0,114.724,111.1,105.462,105.411,29.0388,67.0075,118.816,118.816,143.553,0.0,308.444,323.4,293.482,308.378,293.478,323.269,293.114,293.114,325.33,292.905,292.905,337.884,344.782,40.3762,308.444,-0.420702,-0.420702,6.51079,3.95688,0.828152,0.140043,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,1411.22,53.7876,79.78,0.162007,54.8082,0.26335,1411.22,0.00164564
4.000,100.239,101.818,1245.92,60.4953,305.336,850.701,341.948,100.263,2624.73,74.6276,74.6273,74.4866,74.486,0,0,612.376,612.396,537.152,537.118,1120.61,1147.95,78.9352,78.9352,78.0954,55.2923,53.5675,0.0,0.0,114.524,109.943,106.035,105.98,12.0917,67.0073,117.688,117.688,133.007,0.0,308.449,322.997,293.904,308.371,293.898,322.84,293.268,293.268,325.334,292.772,292.772,331.996,344.782,40.3762,308.449,-0.78793,-0.78793,6.9177,3.90757,0.856012,0.139507,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,1245.92,53.7876,100.0,0.21069,57.8729,0.263758,1245.92,0.00164564
5.000,99.5689,100.44,185.446,23.3961,300.633,851.025,185.738,14.6947,1090.88,77.2525,77.2524,77.1926,77.1921,0,0,199.408,199.505,94.9167,94.3241,1105.07,1123.47,77.4535,77.4535,76.0984,52.158,49.1822,0.0,0.0,113.862,109.939,105.997,105.948,0.0,67.0072,116.461,116.461,122.325,0.0,308.459,322.642,294.255,308.396,294.25,322.525,293.392,293.392,322.977,292.629,292.629,325.593,344.782,40.3762,308.459,-1.27896,-1.27896,7.2289,3.8605,0.765457,0.137953,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,185.446,53.7876,100.0,0.25876,61.5296,0.264299,185.446,0.325602
6.000,83.8884,84.9801,60.1671,8.95111,300.453,851.921,29.5275,4.62329,359.81,78.8718,78.8718,78.8187,78.8183,0,0,257.782,257.854,203.094,202.616,1041.69,1062.49,74.6999,74.6999,73.3297,46.1112,43.1024,0.0,0.0,113.606,109.854,106.592,106.555,0.0,67.007,113.161,113.161,119.522,0.0,308.153,321.652,294.551,308.074,294.547,321.497,293.526,293.526,319.539,292.506,292.506,319.898,344.782,40.3762,308.153,-2.60034,-2.60034,7.15704,3.39203,1.00538,0.138525,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,60.1671,53.7876,100.0,0.306307,65.474,0.26494,60.1671,25.4495
7.000,72.2187,73.8566,22.9665,8.53919,300.337,854.867,0.0,1.82203,341.392,79.7177,79.7176,79.6715,79.6713,0,0,311.593,311.652,260.748,260.452,837.114,858.045,72.8766,72.8766,71.7596,42.1072,39.6544,0.0,0.0,113.096,109.223,105.851,105.855,0.0,67.0069,108.127,108.127,119.522,0.0,307.624,320.063,295.078,307.552,295.07,319.904,293.962,293.962,314.856,292.402,292.402,314.967,344.782,40.3762,307.624,-4.6401,-4.6401,8.4428,1.87412,1.2618,0.135309,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,22.9665,53.7876,100.0,0.351131,69.0717,0.265647,22.9665,124.73
8.000,64.6778,65.8384,2.31071,8.24418,300.246,863.043,0.0,0.292217,329.436,80.243,80.2429,80.2081,80.208,0,0,307.133,307.205,261.559,261.421,692.307,715.423,71.5151,71.5151,70.571,39.1174,37.0443,0.0,0.0,111.871,106.838,105.986,105.999,0.0,67.0068,102.559,102.559,119.522,0.0,307.037,318.065,295.871,306.99,295.86,317.977,294.788,294.788,310.466,292.313,292.313,310.555,344.782,40.3762,307.037,-6.35902,-6.35902,9.74548,1.73607,1.2618,0.133211,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,2.31071,53.7876,100.0,0.392516,72.1015,0.266394,2.31071,145.077
9.000,54.6166,55.8045,-14.0972,7.98043,300.168,886.172,0.0,0.0,318.48,80.5208,80.5207,80.5009,80.5008,0,0,257.798,257.873,226.896,226.812,557.102,577.08,70.3153,70.3153,69.3934,36.4828,34.4583,0.0,0.0,111.297,107.35,106.189,106.195,0.0,67.0066,97.823,97.823,119.522,0.0,306.453,316.276,296.497,306.412,296.489,316.201,295.559,295.559,306.732,292.239,292.239,306.773,344.782,40.3763,306.453,-7.4882,-7.4882,10.8329,1.52145,1.2618,0.130267,0.0,0.0,0.0,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,0.430955,74.6159,0.267171,0.0,143.882
