Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
0.000,102.211,102.776,1408.56,39.1414,309.056,851.019,381.0,100.007,1671.15,72.9509,72.9509,72.9117,72.9116,0,0,563.573,563.573,563.638,563.638,1137.02,1141.01,78.354,78.3418,54.1353,54.1085,0.0,0.0,119.662,115.828,112.988,113.242,52.7358,67.0079,129.647,129.647,156.827,0.022982,308.955,326.089,292.761,309.01,292.761,324.953,292.77,292.77,334.288,293.058,293.058,344.696,344.782,40.3762,309.019,3.99028,3.99028,5.47688,4.42846,1.19986,0.140646,0.0,0.0,0.0,0.0,1.35899e-05,53.6741,54.402,54.0328,1408.56,53.7876,27.6953,0.00667643,44.0479,0.263007,1408.56,0.00164564
1.000,101.305,102.322,1410.0,22.7463,307.262,850.708,357.568,100.096,1193.79,73.743,73.7431,73.6599,73.6595,0,0,587.588,587.599,559.097,559.066,1131.42,1142.91,78.6388,78.3185,54.7023,54.0573,0.0,0.0,119.662,117.636,117.986,117.939,49.7775,67.0078,116.396,116.396,155.057,0.0,308.125,323.066,293.072,308.168,293.046,323.128,292.879,292.879,320.81,293.043,293.043,343.919,344.782,40.3762,308.168,-1.81017,-1.81017,5.99197,4.05119,1.17664,0.135704,0.0,0.0,0.0,0.0,6.45034e-06,53.6741,54.402,54.0328,1410.0,53.7876,41.9614,0.210616,57.2954,0.263095,1410.0,0.00164564
2.000,100.215,100.907,206.929,10.3419,300.664,850.652,201.359,16.1478,427.046,76.6889,76.6888,76.6455,76.645,0,0,179.862,179.959,113.662,113.075,1112.35,1123.27,77.5169,76.8886,52.2972,50.9174,0.0,0.0,119.662,119.662,119.662,119.662,41.3215,67.0076,108.158,108.158,150.229,0.0,307.298,320.697,293.742,307.226,293.711,320.569,293.288,293.288,318.185,292.993,292.993,341.589,344.782,40.3762,307.298,-5.25167,-5.25167,6.42773,3.73958,1.09376,0.130663,0.0,0.0,0.0,1.7813e-05,0.0,53.6741,54.402,54.0328,206.929,53.7876,100.0,0.463751,71.254,0.264262,206.929,0.310029
3.000,89.2248,89.8884,65.1894,8.2003,300.465,850.694,45.1485,4.98195,328.283,78.3328,78.3328,78.2972,78.2968,0,0,225.627,225.7,179.42,178.917,1038.18,1048.33,74.4774,73.5497,45.6225,43.5853,0.0,0.0,119.662,119.662,119.662,119.662,25.8534,67.0075,100.898,100.898,141.124,0.0,306.563,318.365,294.637,306.432,294.601,318.113,293.812,293.812,317.849,292.886,292.886,336.851,344.782,40.3762,306.563,-7.66496,-7.66496,6.45973,3.6287,1.2618,0.130489,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,65.1894,53.7876,100.0,0.669901,82.8914,0.267157,65.1894,24.7284
4.000,79.7149,80.3224,25.7797,7.90568,300.346,850.988,0.0,2.02204,315.853,78.9862,78.9862,78.9594,78.9593,0,0,231.535,231.585,190.678,190.383,830.071,847.822,72.2368,70.9707,40.7023,37.922,0.0,0.0,119.662,119.662,119.125,119.091,5.69709,67.0073,95.4533,95.4533,127.972,0.0,306.3,316.296,296.363,306.097,296.284,315.991,294.919,294.919,317.076,292.719,292.719,329.463,344.782,40.3762,306.3,-9.02978,-9.02978,7.84311,3.50033,1.2618,0.127405,0.0,0.0,0.0,0.0,0.0,53.6741,54.402,54.0328,25.7797,53.7876,100.0,0.853097,92.3968,0.271216,25.7797,122.328
5.000,73.6596,74.2822,4.05982,7.67308,300.253,851.783,0.0,0.416592,306.404,79.052,79.052,79.0266,79.0266,0,0,223.73,223.789,193.911,193.886,697.416,707.253,70.4988,69.1017,36.8857,33.8179,0.0,0.0,110.986,91.9781,100.058,99.9996,0.0,67.0072,92.1425,92.1425,119.522,0.0,306.174,314.886,297.265,306.01,297.354,314.421,296.813,296.813,315.673,292.474,292.474,318.199,344.782,40.3762,306.174,-9.82659,-9.82659,9.2347,3.35243,1.2618,0.12697,0.0,0.0,0.0,1.3448e-06,0.0,53.6741,54.402,54.0328,4.05982,53.7876,100.0,1.00718,98.5606,0.275847,4.05982,136.612
6.000,65.2297,65.4313,-12.8977,7.54225,300.172,860.897,0.0,0.0,300.76,78.833,78.8329,78.8345,78.8346,0,0,200.978,201.039,180.0,180.04,569.78,577.553,69.0421,67.7117,33.687,30.7654,0.0,0.0,113.862,86.9543,79.7881,79.6913,0.0,67.007,90.3383,90.3383,119.522,0.0,305.171,313.87,296.103,305.087,296.306,313.598,296.284,296.285,302.913,292.177,292.176,303.718,344.782,40.3762,305.212,-10.0558,-10.0558,10.4067,3.10044,1.2618,0.125531,0.0,0.0,0.0,0.0,6.48551e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.09856,101.773,0.279895,0.0,138.354
7.000,55.4759,55.5172,-18.0036,7.38609,300.105,976.993,0.0,0.0,294.659,78.2779,78.2778,78.2842,78.2843,0,0,161.411,161.462,171.65,171.758,434.772,437.613,67.3172,66.595,29.8992,28.3132,0.0,0.0,91.5728,78.9819,94.7251,94.6957,0.0,67.0069,87.9665,87.9665,119.522,0.0,303.445,311.979,294.55,303.667,294.657,312.319,294.921,294.922,298.275,292.074,292.082,298.31,344.782,40.3762,303.828,-10.1915,-10.1915,11.3531,1.73378,1.2618,0.121743,0.0,0.0,1.73892,0.0,0.0,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.17572,103.81,0.283293,0.0,140.118
8.000,40.0183,40.0065,-19.0935,7.25615,300.053,1229.15,0.0,0.0,289.606,77.5695,77.5695,77.5682,77.5683,0,0,132.564,132.608,133.049,133.173,301.514,304.65,64.8471,64.9238,25.6628,25.2961,0.0,0.0,71.1159,60.5669,94.133,94.2137,0.0,67.0068,84.7158,84.7158,119.522,0.0,302.057,310.553,293.319,302.14,293.416,310.602,293.215,293.215,295.704,292.023,292.042,295.708,344.782,40.3763,302.14,-10.8876,-10.8876,12.1622,1.58756,1.2618,0.123661,0.0,0.0121636,2.10859,1.10464e-05,8.56614e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.2401,105.352,0.286401,0.0,140.15
9.000,12.6352,12.2681,-19.2224,7.25648,300.006,1185.07,0.0,0.0,289.051,76.9017,76.9009,76.9057,76.905,0,0,109.726,109.755,107.707,107.814,155.262,156.589,60.9253,61.0788,21.5188,21.5579,0.0,0.0,88.8789,72.3319,84.5157,84.5933,0.0,67.0381,87.658,87.658,119.522,0.0,301.023,309.504,292.26,301.058,292.367,309.474,292.148,292.147,293.572,291.986,292.016,293.571,344.782,40.3769,301.058,-7.60118,-7.60118,12.618,1.44414,1.2618,0.124916,0.0,9.11593,20.864,9.99982e-06,8.36542e-06,53.6741,54.402,54.0328,0.0,53.7876,100.0,1.2937,106.582,0.288946,0.0,141.853
