Variable,hmi_MFWFT511_VALUE,hmi_MFWFT521_VALUE,hmi_TCSWT1_VALUE,hmi_RRCNP10_VALUE,hmi_RCSTT499B_VALUE,hmi_RCSCT5_VALUE,hmi_RRCYT100_VALUE,hmi_MGPWT11_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPV455B_VALUE,hmi_RCSPV455C_VALUE,hmi_MRSFT512_VALUE,hmi_MRSFT522_VALUE,hmi_MRSFT532_VALUE,hmi_MRSFT542_VALUE,hmi_MRSFT510_VALUE,hmi_MRSFT520_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_AFWFT2_VALUE,hmi_AFWFT9_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSFT434_VALUE,hmi_RCSFT444_VALUE,hmi_RCSLT459_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT403_VALUE,hmi_RCSPT405_VALUE,hmi_RCSPT455A_VALUE,hmi_RCSPT469A_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT468A_VALUE,hmi_RCSTC502_VALUE,hmi_RCSTT1734_VALUE,hmi_RCSTT1735_VALUE,hmi_CVCFT121_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT161B_VALUE,hmi_RHRFT988_VALUE,hmi_HPCFT918_VALUE,hmi_HPCFT922_VALUE,hmi_CSSFT5_VALUE,hmi_CSSFT11_VALUE,hmi_ASILT950_VALUE,hmi_ASILT952_VALUE,hmi_ASILT954_VALUE,hmi_MGPWT1_VALUE,hmi_ASILT956_VALUE,hmi_CTMCT27_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,hmi_CPSRT591_VALUE,hmi_MGPWT01_VALUE,hmi_HPCPT947_VALUE
02:51.000,0.00474068,0.00751958,0.00123934,4.27252,296.133,2320.5,0.0,8.84511e-05,170.192,28.1456,28.1456,36.6429,36.6383,0,0,0.0,0.0,3.1622,0.0,0.0,0.0,52.1404,49.548,2.26394,0.260804,64.3798,47.1673,9.46326,3.40031,2.28119,2.26384,0.0,69.0856,8.80833,8.80833,119.522,0.0,276.667,185.256,173.158,276.667,173.388,187.994,174.568,174.544,177.215,161.193,161.23,161.115,344.782,40.6471,276.667,-13.2458,-13.2458,11.3676,1.7507e-05,1.2618,0.137054,0.00578096,50.4722,50.4722,199.255,199.268,0.0,0.0,0.0,0.00123934,0.0,100.0,1.1382,95.5633,0.309528,0.00123934,128.859
02:52.000,0.00652645,0.0114451,0.00117671,4.26815,296.126,2321.3,0.0,8.39809e-05,170.018,27.9585,27.9585,36.4564,36.4519,0,0,0.0,0.0,3.15794,0.0,0.0,0.0,52.2162,49.6093,2.45671,0.38945,64.2605,47.1584,9.47752,3.36824,2.26751,2.25006,0.0,69.102,8.86631,8.86631,119.522,0.0,276.667,185.244,173.351,276.667,173.585,187.958,174.753,174.73,177.487,161.625,161.663,161.548,344.782,40.6502,276.667,-12.9103,-12.9103,11.3723,0.000358411,1.2618,0.137451,0.0,50.4722,50.4722,199.253,199.265,0.0,0.0,0.0,0.00117671,0.0,100.0,1.13404,95.4081,0.309471,0.00117671,129.626
02:53.000,0.0104869,0.00701414,0.00111725,4.26381,296.121,2322.06,0.0,7.97366e-05,169.845,27.7745,27.7745,36.2715,36.267,0,0,0.0,0.0,3.15524,0.0,0.0,0.0,52.3019,49.676,2.65883,0.534325,64.142,47.4343,9.48431,3.33597,2.25331,2.23572,0.0,69.1172,8.91807,8.91807,119.522,0.0,276.667,185.225,173.532,276.667,173.769,187.915,174.926,174.903,177.729,162.054,162.092,161.977,344.782,40.6531,276.667,-12.6028,-12.6028,11.3873,0.000507237,1.2618,0.138015,0.0,50.4722,50.4722,199.25,199.263,0.0,0.0,0.0,0.00111725,0.0,100.0,1.12993,95.2539,0.309414,0.00111725,130.631
02:54.000,0.00372135,0.00104979,0.00106079,4.2595,296.118,2322.85,0.0,7.57073e-05,169.673,27.5887,27.5887,36.0885,36.084,0,0,0.0,0.0,3.15067,0.0,0.0,0.0,52.4014,49.7389,2.89663,0.696078,64.0145,47.4807,9.48954,3.30221,2.23812,2.22044,0.0,69.1344,8.96379,8.96379,119.522,0.0,276.667,185.199,173.698,276.667,173.939,187.867,175.086,175.063,177.942,162.477,162.516,162.401,344.782,40.6563,276.667,-12.322,-12.322,11.4012,0.00055863,1.2618,0.138345,0.00181297,50.4722,50.4722,199.247,199.26,0.0,0.0,0.0,0.00106079,0.0,100.0,1.12589,95.1008,0.309359,0.00106079,131.137
02:55.000,0.00337159,0.000390127,0.00100718,4.2552,296.112,2323.65,0.0,7.18811e-05,169.502,27.3641,27.3641,35.9071,35.9026,0,0,0.0,0.0,3.14436,0.0,0.0,0.0,52.3706,49.8013,3.51778,0.866977,63.9522,47.0903,9.48958,3.26854,2.22318,2.20518,0.0,69.1498,9.00396,9.00396,119.522,0.0,276.667,185.167,173.851,276.667,174.096,187.814,175.233,175.211,178.128,162.896,162.935,162.82,344.782,40.6592,276.667,-12.065,-12.065,11.3973,0.000548094,1.2618,0.137852,0.0,50.4722,50.4722,199.245,199.257,0.0,0.0,0.0,0.00100718,0.0,100.0,1.12189,94.9485,0.309305,0.00100718,130.414
02:56.000,5.47512,0.00272526,0.00095628,4.25093,296.102,2324.48,0.0,6.82488e-05,169.332,27.1055,27.1055,35.7278,35.7233,0,0,0.0,0.0,3.08281,0.0,0.0,0.0,52.458,49.8628,4.71439,1.04298,63.9315,47.5271,9.49135,3.23174,2.20895,2.19081,0.0,69.1656,9.04007,9.04007,119.522,0.0,276.667,185.132,173.995,276.667,174.245,187.755,175.37,175.349,178.295,163.309,163.348,163.234,344.782,40.6622,276.667,-11.8235,-11.8235,11.383,0.000500709,1.2618,0.137171,0.0,50.4722,50.4722,199.242,199.255,0.0,0.0,0.0,0.00095628,0.0,100.0,1.11794,94.7965,0.309252,0.00095628,129.46
02:57.000,34.8355,0.00401946,0.00090795,4.24669,296.091,2325.34,0.0,6.47996e-05,169.163,26.8045,26.8046,35.5454,35.541,0,0,0.0,0.0,3.13509,0.0,0.0,0.0,52.5364,49.9221,6.63778,1.23556,63.9577,47.5755,9.58844,3.1825,2.19457,2.17622,0.0,69.1829,9.0712,9.0712,119.522,0.0,276.667,185.085,174.116,276.667,174.376,187.693,175.498,175.476,178.435,163.717,163.757,163.642,344.782,40.6655,276.667,-11.6054,-11.6054,11.3682,0.000417969,1.2618,0.136717,0.0,50.4722,50.4722,199.239,199.252,0.0,0.0,0.0,0.000907954,0.0,100.0,1.11397,94.6443,0.3092,0.000907954,128.89
02:58.000,30.752,0.00583986,0.00086207,4.24247,296.08,2326.25,0.0,6.15251e-05,168.994,26.5162,26.5162,35.3734,35.3689,0,0,0.0,0.0,3.12289,0.0,0.0,0.0,52.7648,49.9802,8.93639,1.43533,64.0079,47.0378,9.58959,3.145,2.18108,2.16267,0.0,69.1982,9.09771,9.09771,119.522,0.0,276.667,185.037,174.235,276.667,174.5,187.625,175.614,175.593,178.556,164.118,164.159,164.045,344.782,40.6684,276.667,-11.4049,-11.4049,11.3714,0.000303269,1.2618,0.137059,0.00547398,50.4722,50.4722,199.237,199.249,0.0,0.0,0.0,0.00086207,0.0,100.0,1.10995,94.4901,0.309149,0.00086207,129.574
02:59.000,10.9081,0.00710153,0.0008185,4.23828,296.068,2327.21,0.0,5.8416e-05,168.827,26.2954,26.2955,35.1985,35.1941,0,0,0.0,0.0,3.12292,0.0,0.0,0.0,53.3203,50.0381,10.9125,1.64023,63.9741,47.2342,9.5761,3.10947,2.16879,2.15024,0.0,69.2147,9.12011,9.12011,119.522,0.0,276.667,184.984,174.345,276.667,174.615,187.554,175.722,175.701,178.66,164.514,164.555,164.441,344.782,40.6716,276.667,-11.2215,-11.2215,11.3855,0.000131765,1.2618,0.137633,0.0,50.4722,50.4722,199.234,199.246,0.0,0.0,0.0,0.000818505,0.0,100.0,1.10597,94.3336,0.309099,0.000818505,130.561
03:00.000,7.70572,0.0076678,0.00077714,4.23411,296.057,2328.22,0.0,5.54638e-05,168.661,26.1264,26.1264,35.0254,35.021,0,0,0.0,0.0,3.11933,0.0,0.0,0.0,53.8444,50.0937,11.6968,1.85292,63.8587,47.888,9.57407,3.0766,2.15489,2.13609,0.0,69.2315,9.13687,9.13687,119.522,0.0,276.667,184.925,174.443,276.667,174.717,187.479,175.818,175.798,178.739,164.902,164.944,164.83,344.782,40.6748,276.667,-11.0636,-11.0636,11.4012,0.0,1.2618,0.138031,0.0,50.4722,50.4722,199.231,199.244,0.0,0.0,0.0,0.000777141,0.0,100.0,1.10206,94.1804,0.309049,0.000777141,131.213
