hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.002,2015.5,72.938,72.938,72.9071,72.9071,78.3537,78.3441,119.662,114.882,67.0079,131.321,325.962,292.784,292.784,325.023,292.794,292.794,344.707,5.16747,0.0036441,43.916,1
850.676,1620.91,73.1594,73.1593,73.08,73.0799,78.5826,78.3033,119.662,116.385,67.0078,118.179,323.522,292.983,292.973,323.532,292.867,292.867,343.946,-0.987379,0.157275,54.3625,2
850.636,1191.75,76.2562,76.2561,76.2165,76.216,78.1614,77.6651,119.662,119.662,67.0076,110.853,321.382,293.505,293.492,321.202,293.225,293.225,341.663,-3.97763,0.368448,66.9603,3
850.674,366.042,78.281,78.2809,78.2423,78.2418,74.9635,74.2564,119.662,119.662,67.0075,104.889,319.455,294.207,294.191,319.191,293.653,293.653,337.046,-6.36644,0.536859,76.8071,4
850.937,330.579,79.3734,79.3733,79.3294,79.3292,72.7358,71.694,119.662,119.662,67.0073,99.6832,317.653,295.43,295.4,317.27,294.489,294.489,329.928,-7.70064,0.691278,86.1832,5
851.63,321.139,79.7551,79.7551,79.728,79.728,71.2573,69.7754,119.662,117.132,67.0072,95.5707,315.92,298.01,297.909,315.623,295.891,295.891,319.803,-8.57727,0.825924,92.6556,6
855.242,309.875,79.6895,79.6894,79.6761,79.6761,69.9507,68.5228,105.215,80.5402,67.007,92.8126,315.036,297.533,297.65,314.522,297.181,297.181,306.225,-9.52138,0.929709,96.6675,7
892.091,297.946,79.3055,79.3055,79.3204,79.3204,68.4871,67.4618,109.383,93.4306,67.0069,90.178,313.235,295.842,295.966,313.443,296.276,296.276,300.664,-9.74053,1.01424,99.2806,8
1097.43,293.608,78.8228,78.8228,78.8343,78.8344,66.5633,66.3943,91.2766,83.1384,67.0068,88.7583,311.855,294.555,294.625,312.33,295.205,295.205,298.522,-9.63331,1.09343,101.464,9
1176.5,289.191,78.1812,78.1811,78.1844,78.1845,63.7411,64.4952,96.1826,86.9742,67.0404,86.8688,310.909,293.718,293.791,311.244,293.959,293.959,296.596,-9.91798,1.15981,103.202,10
