hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
850.97,2773.91,72.9235,72.9235,72.9042,72.9042,78.356,78.3456,115.146,110.404,67.0079,143.75,326.014,292.824,292.824,325.126,292.835,292.835,344.717,12.5278,0.00496518,44.2952,1
850.693,2821.17,73.0707,73.0704,72.9958,72.9958,78.5146,78.2829,116.447,111.207,67.0078,123.186,324.879,292.893,292.89,324.812,292.805,292.805,343.975,1.03099,0.0758906,49.7485,2
850.635,2836.25,73.3174,73.3169,73.1958,73.1957,78.7742,78.312,116.913,112.998,67.0076,118.364,323.365,293.241,293.236,323.234,293.014,293.014,341.731,-0.694105,0.152181,54.2442,3
850.637,2186.52,75.1477,75.1462,75.0605,75.0598,78.8864,78.2482,116.932,112.233,67.0075,115.394,322.394,293.667,293.66,322.212,293.229,293.229,337.376,-1.77263,0.22705,58.8779,4
850.787,790.653,78.0953,78.0957,78.0438,78.0441,76.6901,75.5121,117.391,112.561,67.0073,113.253,321.7,294.141,294.134,321.504,293.396,293.396,331.08,-2.5826,0.294261,63.5067,5
851.203,352.077,80.6756,80.6761,80.6294,80.6299,73.6628,72.2762,117.041,112.396,67.0072,110.189,320.759,294.699,294.691,320.571,293.631,293.631,323.912,-3.83396,0.360482,68.7268,6
852.373,337.764,82.6954,82.6962,82.659,82.6596,70.9525,69.4889,116.055,111.553,67.007,105.662,319.259,295.607,295.592,319.081,294.243,294.243,315.565,-5.66016,0.422355,73.3876,7
856.562,326.551,83.9145,83.9156,83.8948,83.8955,68.4583,66.8624,114.648,110.27,67.0069,100.819,317.512,296.788,296.772,317.38,295.265,295.265,309.496,-6.86045,0.478769,77.0929,8
873.021,316.118,84.443,84.4443,84.4294,84.4302,66.0625,64.5483,112.838,108.558,67.0068,96.9317,315.915,297.857,297.84,315.878,296.32,296.32,306.104,-7.69433,0.530989,80.0516,9
916.768,306.016,84.6279,84.6292,84.6212,84.6218,64.024,62.7264,91.6764,89.8748,67.0066,94.5227,314.925,297.99,297.996,314.868,297.766,297.766,304.207,-8.26877,0.58069,82.532,10
993.861,296.469,84.5147,84.515,84.5128,84.513,62.2372,61.3172,88.9674,86.506,67.0065,92.9735,314.223,297.457,297.467,314.094,297.204,297.204,303.035,-8.6006,0.628229,84.6797,11
1049.14,287.828,84.1528,84.151,84.1578,84.157,60.7447,60.2419,103.133,101.502,67.0507,92.2338,313.509,296.781,296.79,313.702,297.068,297.068,302.092,-8.58002,0.674015,86.6057,12
1010.2,280.85,83.6765,83.6748,83.6886,83.6882,59.7219,59.7756,110.378,109.238,67.1269,91.4056,312.901,296.295,296.302,313.303,296.902,296.902,301.348,-8.74841,0.716825,88.2592,13
958.116,276.618,83.2526,83.2516,83.2571,83.2602,59.0903,59.8137,109.532,108.451,67.1574,90.7937,312.437,296.041,296.047,312.898,296.705,296.705,300.776,-8.76597,0.758939,89.7947,14
935.329,273.303,82.9315,82.9335,82.9407,82.9472,57.6157,59.5184,108.647,107.592,67.1716,90.1088,311.873,295.724,295.731,312.395,296.487,296.487,300.132,-8.74112,0.800208,91.1824,15
941.223,270.051,82.6367,82.6387,82.6464,82.6534,56.2782,58.5599,107.974,106.983,67.18,89.3248,311.288,295.29,295.297,311.897,296.2,296.2,299.37,-8.79679,0.840224,92.4902,16
965.549,266.313,82.3812,82.3833,82.3916,82.3989,55.1693,57.8307,112.34,111.414,67.1869,88.7217,310.874,294.933,294.94,311.537,296.024,296.024,298.793,-8.86654,0.878555,93.6585,17
993.873,263.478,82.1185,82.1205,82.13,82.1376,54.1269,57.186,109.605,108.684,67.1937,88.5609,310.22,294.59,294.597,311.117,295.743,295.743,297.829,-8.56171,0.916878,94.7658,18
1008.16,260.853,81.8437,81.8459,81.8597,81.8675,52.7581,56.2923,101.04,100.154,67.2005,89.3295,309.473,294.019,294.026,311.004,295.533,295.533,296.63,-7.90046,0.956257,95.8817,19
1003.76,258.714,81.6087,81.6077,81.6267,81.6321,51.2368,55.3901,96.8096,95.9757,67.2073,89.253,308.891,293.597,293.604,311.931,295.411,295.411,295.825,-8.88133,0.994408,96.9087,20
1007.78,256.795,81.4337,81.4347,81.449,81.4554,49.2561,54.5929,98.5969,97.7783,67.2142,88.6983,308.449,293.333,293.34,313.253,295.256,295.256,295.322,-10.5995,1.03129,97.8636,21
1016.82,254.657,81.2955,81.2946,81.3062,81.3085,45.8582,53.8497,94.4089,93.6471,67.2212,87.8757,308.019,293.114,293.12,313.596,295.006,295.006,294.822,-11.5343,1.06807,98.7968,22
1007.85,252.42,81.1745,81.1732,81.1765,81.176,43.968,53.0161,91.23,90.5631,67.2279,86.1339,307.503,292.823,292.829,310.907,294.645,294.645,294.374,-10.1254,1.10262,99.6232,23
1015.17,250.26,81.0518,81.0504,81.0522,81.0509,43.5783,52.1281,93.6055,93.031,67.2356,83.9735,307.463,293.011,293.017,309.286,294.367,294.367,294.64,-10.1397,1.13366,100.339,24
1023.46,248.566,80.8687,80.8672,80.8737,80.8723,43.1283,50.9719,82.3047,81.7723,67.2428,84.0161,306.675,292.477,292.482,308.501,294.016,294.017,293.556,-9.32261,1.16368,101.01,25
1028.19,247.145,80.6546,80.6531,80.6681,80.6665,42.5862,48.3149,70.5327,70.0121,67.2505,83.852,305.994,292.014,292.019,309.102,293.748,293.749,292.58,-10.0497,1.19224,101.636,26
1008.51,245.753,80.3994,80.3978,80.4067,80.405,42.0717,46.3161,82.1516,81.6814,67.2581,78.8201,305.429,291.507,291.513,309.514,293.586,293.603,291.499,-14.5047,1.21953,102.213,27
1001.87,242.919,80.0676,80.0659,80.069,80.0673,41.5309,44.5649,81.2739,80.3273,67.2656,87.4116,305.025,291.141,291.149,306.176,291.681,291.681,290.877,-4.45268,1.25153,102.852,28
1009.87,242.249,79.7779,79.776,79.7824,79.7802,41.1376,43.2605,93.9892,93.433,67.2738,80.8669,305.334,291.33,291.336,305.705,291.678,291.678,291.5,-9.01137,1.28936,103.65,29
1025.68,240.225,79.4335,79.4312,79.4405,79.4376,40.9271,42.4708,81.5733,81.0642,67.2818,81.103,304.266,290.789,290.794,304.896,291.098,291.097,290.403,-8.01134,1.31959,104.278,30
1029.57,238.554,79.1972,79.1941,79.2071,79.2035,40.6763,41.8079,73.9417,54.9487,67.2897,94.3267,304.23,290.795,290.8,305.124,291.116,291.116,290.933,1.40218,1.34776,104.828,31
1025.63,237.509,79.0387,79.0351,79.0413,79.0376,41.2909,42.0864,75.2466,74.6147,67.2981,85.5051,305.16,292.264,292.271,305.719,292.504,292.504,293.139,-5.40741,1.37721,105.413,32
1022.55,235.809,78.6369,78.632,78.5446,78.5435,41.4805,41.8529,61.6482,61.1433,67.3075,81.1534,303.76,290.747,290.754,303.616,290.481,290.48,292.278,-6.83465,1.40614,105.938,33
1013.86,234.554,77.8381,77.836,77.8845,77.8801,40.2236,40.2462,64.8957,64.2445,67.3156,74.5871,300.786,287.225,287.233,303.19,289.134,289.133,287.47,-11.853,1.42979,106.347,34
1015.92,234.653,76.9634,76.9647,77.1874,77.18,39.5241,39.948,104.629,102.702,67.3238,75.6287,302.865,283.919,283.938,303.165,285.199,285.2,287.49,-10.9003,1.4553,106.759,35
1031.32,232.027,76.6629,76.6645,76.9196,76.9106,39.1186,40.2515,13.7641,13.9176,67.3336,78.5312,304.271,292.062,292.062,304.643,291.847,291.847,285.355,-9.87647,1.48474,107.265,36
1034.42,231.365,76.5295,76.53,76.7255,76.7175,41.288,41.8809,6.59618,2.25708,67.3426,77.4673,304.861,292.124,292.146,306.356,292.503,292.503,289.677,-12.4921,1.51022,107.708,37
1039.28,229.889,76.3111,76.3108,76.4593,76.4523,42.2668,42.7053,8.43736,1.78896,67.3513,75.7955,303.932,291.32,291.358,305.429,291.693,291.695,290.548,-13.0165,1.53292,108.064,38
