hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.016,1875.29,73.0109,73.0109,72.9329,72.9328,78.3626,78.339,119.662,113.396,67.0079,129.365,326.246,292.746,292.746,324.907,292.754,292.754,344.685,3.6555,0.00817466,44.1262,1
850.703,1449.17,73.914,73.914,73.7441,73.7437,78.8488,78.276,119.662,107.69,67.0078,115.373,322.637,293.489,293.327,322.808,292.861,292.861,343.896,-2.20093,0.212182,57.4172,2
850.653,1003.99,76.8687,76.8686,76.7822,76.7818,77.8624,76.6129,119.662,112.234,67.0076,106.662,319.977,294.729,294.532,320.027,293.234,293.234,341.525,-5.68373,0.488037,72.4262,3
850.726,333.524,78.3411,78.3411,78.3021,78.3018,75.1399,73.0407,119.662,114.932,67.0075,99.8705,317.714,296.085,295.896,317.62,293.733,293.733,336.72,-7.6457,0.70185,84.2743,4
851.076,320.047,78.6989,78.6989,78.6894,78.6894,72.6285,70.5279,119.662,104.49,67.0073,94.2755,315.474,297.436,297.79,315.545,294.769,294.769,329.246,-9.05304,0.886994,93.6453,5
852.168,310.253,78.5757,78.5756,78.608,78.6081,70.2687,68.922,119.24,71.6819,67.0072,91.1311,314.356,296.613,296.85,314.109,296.472,296.472,317.626,-9.99023,1.03487,99.4379,6
858.067,303.224,78.2974,78.2973,78.3416,78.3417,67.6166,67.8422,114.975,84.624,67.007,90.5624,314.855,295.285,295.617,313.329,296.032,296.032,303.461,-10.8846,1.14548,103.02,7
854.122,300.739,77.8002,77.8001,77.8437,77.8438,65.3501,67.3561,110.456,0.0,67.0069,87.5658,313.458,292.383,293.383,312.618,295.287,295.287,300.051,-11.6215,1.22423,105.158,8
854.581,296.218,77.1917,77.1916,77.2216,77.2217,61.9574,65.9805,119.662,0.0,67.0068,84.5792,311.74,292.088,293.067,310.976,293.562,293.562,297.228,-12.1301,1.30131,106.896,9
856.045,292.085,76.4845,76.4841,76.5025,76.5026,58.0323,62.7138,110.749,0.0,67.0381,80.9323,310.785,290.126,291.222,309.796,292.39,292.389,294.573,-14.0387,1.39083,108.857,10
