hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
851.001,2063.29,72.9361,72.9361,72.9065,72.9065,78.3537,78.3443,119.662,114.633,67.0079,132.004,325.945,292.787,292.787,325.032,292.797,292.797,344.708,5.60849,0.003288,43.9004,1
850.673,1674.61,73.1522,73.1521,73.0698,73.0697,78.5784,78.3052,119.662,116.193,67.0078,118.348,323.576,292.975,292.965,323.587,292.869,292.869,343.948,-0.927395,0.153639,54.2094,2
850.634,1271.49,76.2527,76.2526,76.2124,76.2119,78.1696,77.6523,119.662,119.356,67.0076,111.11,321.474,293.488,293.476,321.283,293.222,293.222,341.671,-3.88482,0.360997,66.6545,3
850.672,367.369,78.2894,78.2894,78.2513,78.2509,74.9874,74.2707,119.662,119.662,67.0075,105.283,319.564,294.178,294.164,319.291,293.638,293.638,337.069,-6.24386,0.525507,76.2775,4
850.931,331.639,79.4147,79.4147,79.3687,79.3685,72.7416,71.7362,119.662,119.662,67.0073,100.137,317.773,295.369,295.341,317.397,294.444,294.443,329.981,-7.54038,0.676572,85.5834,5
851.604,321.806,79.8298,79.8298,79.8018,79.8017,71.2918,69.8183,119.662,117.331,67.0072,95.9424,316.06,297.883,297.782,315.745,295.812,295.812,320.067,-8.47639,0.808379,92.0435,6
854.913,310.888,79.7834,79.7834,79.769,79.769,70.0079,68.5657,106.117,81.9851,67.007,93.0675,315.122,297.634,297.745,314.623,297.251,297.251,306.517,-9.43566,0.912907,96.1166,7
887.78,298.433,79.4143,79.4143,79.4275,79.4276,68.5737,67.5214,108.42,92.046,67.0069,90.3841,313.374,296.017,296.14,313.511,296.356,296.356,300.923,-9.66437,0.997156,98.7749,8
1090.65,294.126,78.9699,78.9699,78.9855,78.9856,66.6823,66.4629,94.2059,86.4058,67.0068,89.2058,311.986,294.67,294.737,312.454,295.361,295.361,298.845,-9.43793,1.0767,101.01,9
1187.87,289.679,78.3129,78.3129,78.3119,78.312,64.0938,64.8503,98.1459,90.0041,67.0405,86.4803,311.117,293.796,293.863,311.454,294.103,294.103,296.79,-10.4153,1.14435,102.787,10
1032.59,286.01,77.3747,77.3738,77.3614,77.3607,59.8356,60.5379,94.4819,82.9172,67.1178,89.3304,309.377,292.374,292.454,309.416,292.361,292.36,293.888,-6.31175,1.21235,104.437,11
955.256,281.365,76.3223,76.3217,76.3198,76.3193,55.9027,56.4303,72.4256,66.37,67.1518,79.8325,308.433,291.039,291.093,308.203,290.973,290.972,290.554,-12.5841,1.27599,105.93,12
1005.1,278.359,75.4601,75.4588,75.4591,75.4581,52.7303,53.1751,58.1926,52.955,67.1686,75.2933,307.917,290.089,290.135,307.992,289.866,289.865,288.535,-16.024,1.32278,106.944,13
1096.64,274.946,75.2494,75.2467,75.2437,75.2418,50.4591,50.856,65.5131,57.2307,67.1777,83.5972,307.692,291.587,291.652,307.532,291.432,291.432,291.84,-8.83616,1.3617,107.699,14
1155.3,272.271,74.6029,74.6021,74.6514,74.6495,50.2345,50.7016,59.0758,50.4366,67.1848,79.2842,306.889,290.522,290.6,306.943,290.61,290.609,290.387,-11.5473,1.41091,108.669,15
1165.11,267.646,73.8208,73.8271,73.8947,73.896,45.8658,47.057,87.6001,78.0019,67.1915,72.6821,304.533,286.364,286.447,303.935,286.825,286.825,284.414,-14.9356,1.4524,109.485,16
1022.6,267.043,72.8929,72.9058,73.3981,73.3944,41.9453,44.3143,60.6026,42.6365,67.198,72.4672,306.247,282.351,282.476,302.744,285.393,285.388,283.887,-16.8498,1.50484,110.46,17
1078.82,262.902,71.9291,71.943,73.2668,73.2557,35.9161,42.4922,31.6995,28.5886,67.2048,77.4114,306.471,292.566,292.623,307.756,290.713,290.713,286.312,-13.9398,1.57543,111.783,18
1089.16,260.922,71.8421,71.8422,73.1072,73.1105,36.14,42.4237,47.6066,29.5219,67.2115,72.0625,305.67,289.362,289.734,308.9,290.196,290.367,288.257,-19.8815,1.63397,112.937,19
1133.84,259.391,71.8208,71.8208,73.0513,73.0545,38.4164,41.6271,15.2518,8.75603,67.2183,74.2302,304.631,289.578,289.666,308.257,290.581,290.592,287.885,-17.2419,1.67027,113.507,20
1158.24,256.596,71.6575,71.6575,72.8749,72.8692,39.5014,41.4299,28.7049,0.0,67.2252,70.6671,304.122,288.325,288.695,307.718,289.087,289.096,286.425,-20.0243,1.69491,113.865,21
1178.57,254.102,71.3529,71.353,72.5742,72.5691,39.4375,40.4075,41.797,0.277305,67.232,67.9442,303.338,286.98,287.466,306.43,287.625,287.634,283.452,-21.415,1.71605,114.133,22
1208.64,251.847,70.9811,70.9812,72.2373,72.2316,39.068,39.1567,43.9773,0.149218,67.2394,65.9611,302.84,285.962,286.565,305.423,286.539,286.552,281.277,-22.4406,1.73946,114.446,23
1259.02,249.823,70.5379,70.538,71.8024,71.7963,38.6441,37.9866,42.7448,0.012373,67.2464,64.3174,302.239,285.015,285.826,304.04,285.533,285.547,279.593,-22.7957,1.76327,114.771,24
1300.8,248.08,70.0585,70.0586,71.2977,71.2912,38.2795,37.6455,40.5085,0.0,67.2541,63.0397,301.546,284.202,285.02,302.482,284.673,284.684,278.22,-22.6236,1.78604,115.067,25
1268.25,246.574,69.5611,69.5612,70.7431,70.7362,38.0471,37.5599,37.6733,0.0,67.2616,61.9398,300.469,283.468,284.255,301.495,283.92,283.927,277.036,-22.8549,1.80759,115.328,26
1172.32,245.115,69.0372,69.0373,70.1538,70.1465,37.9215,37.5246,34.5057,0.0,67.2695,60.9101,299.269,282.736,283.423,301.031,283.216,283.22,275.914,-23.5523,1.82812,115.56,27
1111.91,243.548,68.4615,68.4616,69.5446,69.5368,37.7779,37.5231,31.6461,0.0,67.2772,59.8258,298.23,281.977,282.725,300.692,282.513,282.516,274.77,-24.4585,1.84761,115.768,28
1096.73,241.916,67.8258,67.8259,68.9365,68.9285,37.5619,37.5926,30.8182,0.0,67.2859,58.7076,297.455,281.207,281.995,300.179,281.797,281.8,273.61,-25.2555,1.86622,115.957,29
1102.52,240.288,67.1779,67.178,68.3474,68.3395,37.3758,37.761,32.1966,0.0,67.2943,57.6467,297.001,280.44,281.33,299.565,281.049,281.052,272.464,-25.9067,1.88448,116.138,30
1115.1,238.705,66.5695,66.5697,67.7873,67.7795,37.493,37.9995,33.2724,0.0,67.3028,56.5914,296.622,279.772,280.811,299.03,280.372,280.375,271.445,-26.6551,1.90282,116.316,31
1125.5,237.178,65.9883,65.9884,67.2562,67.2484,37.765,38.2818,32.6529,0.0,67.3114,55.7218,296.089,279.067,280.085,298.44,279.666,279.669,270.376,-27.1392,1.92118,116.494,32
1131.71,235.712,65.4197,65.4198,66.7524,66.7447,38.0203,38.5676,30.9948,0.0635419,67.3201,54.7271,295.398,278.329,279.439,297.887,278.939,278.941,269.253,-27.8349,1.93799,116.571,33
1138.62,234.303,64.8532,64.8533,66.2804,66.2726,38.2179,38.8554,28.7768,0.0473029,67.3282,53.6213,294.608,277.512,278.681,297.362,278.142,278.145,267.995,-28.7238,1.94842,116.425,34
1149.92,232.943,64.2396,64.2397,65.7936,65.7859,38.3411,39.1237,26.667,0.0307598,67.3373,52.4139,293.757,276.609,277.88,296.815,277.268,277.271,266.592,-29.7521,1.95549,116.242,35
1167.88,231.628,63.5867,63.5868,65.3015,65.294,38.3421,39.3102,24.9016,0.0187078,67.3463,51.1228,292.877,275.632,276.971,296.236,276.318,276.322,265.064,-30.8929,1.96189,116.077,36
1193.0,230.351,62.9067,62.9069,64.8122,64.805,38.3425,39.4838,23.4474,0.0165812,67.3555,49.7752,291.974,274.595,276.036,295.616,275.306,275.312,263.454,-32.1089,1.96776,115.916,37
1223.4,229.11,62.2067,62.2068,64.3297,64.3225,38.3711,39.664,22.1529,0.00755303,67.3649,48.397,291.061,273.511,275.068,294.974,274.246,274.254,261.755,-33.3887,1.97319,115.76,38
1256.52,227.901,61.4904,61.4905,63.8564,63.8492,38.4369,39.8991,20.8915,0.00265955,67.3745,46.917,290.152,272.379,274.004,294.303,273.136,273.146,259.891,-34.832,1.97814,115.602,39
1291.16,226.722,60.7647,60.7648,63.3906,63.3834,38.5158,40.1096,19.8243,0.00126529,67.3836,45.552,289.258,271.198,272.934,293.612,271.976,271.989,258.134,-36.139,1.98263,115.441,40
1326.33,225.572,60.0374,60.0376,62.9337,62.9264,38.6368,40.3357,18.7092,0.0,67.3931,44.0763,288.369,269.959,271.719,292.92,270.757,270.774,256.19,-37.6582,1.98676,115.285,41
1361.16,224.449,59.3157,59.3158,62.4867,62.4794,38.8029,40.6021,17.4749,0.0,67.4025,42.479,287.481,268.652,270.501,292.197,269.471,269.492,254.029,-39.3906,1.99052,115.131,42
1397.02,223.341,58.606,58.6062,62.0494,62.0421,38.9835,40.8674,16.2613,0.0,67.4119,40.9526,286.478,267.255,269.153,291.436,268.091,268.116,251.92,-40.5424,1.99391,114.98,43
1435.92,222.249,57.9076,57.9077,61.6172,61.61,39.1943,41.1366,14.8536,0.0,67.4218,39.1851,285.356,265.695,267.646,290.582,266.544,266.571,249.409,-41.8112,1.9969,114.829,44
1859.95,221.289,57.2208,57.2209,61.1714,61.1643,39.4266,41.3865,13.4214,0.302385,67.4312,36.9742,284.164,264.0,265.819,289.756,264.876,264.904,246.668,-43.8152,1.99945,114.676,45
1671.47,220.26,56.5401,56.5403,60.6308,60.6237,39.6305,40.9924,12.2447,0.0,67.4408,35.1258,282.549,261.812,262.941,286.499,262.613,263.051,242.973,-43.1067,2.00136,114.519,46
1765.7,219.247,55.8625,55.8626,60.0954,60.0884,39.6981,40.9366,11.4543,0.0,67.4498,33.6677,280.957,259.756,260.746,285.274,260.969,261.067,240.214,-44.0294,2.00271,114.358,47
1777.47,218.323,55.221,55.2211,59.6123,59.6053,39.9353,41.2481,9.83758,0.487904,67.4592,31.5064,279.928,258.212,259.255,284.436,259.042,258.907,237.306,-46.6317,2.00397,114.201,48
1839.92,217.448,54.5956,54.5957,59.1308,59.1239,40.0839,41.4942,9.01363,0.0,67.4691,29.4615,278.483,257.808,256.731,283.076,256.536,256.42,233.529,-48.8441,2.00536,114.105,49
1946.33,216.482,53.9882,53.9883,58.6698,58.6629,40.2573,41.7582,9.86636,0.0,67.4792,27.8126,277.35,259.086,255.595,282.768,255.435,257.12,230.926,-51.6693,2.00631,114.074,50
2010.38,215.652,53.4118,53.4119,58.2308,58.224,40.4721,42.0537,7.74962,0.0289137,67.4895,26.237,275.916,263.481,253.891,281.461,261.877,261.865,227.548,-53.5858,2.00655,114.016,51
1959.64,214.681,52.8521,52.8522,57.764,57.7572,40.6091,42.0852,8.05881,0.0,67.4996,24.8427,274.084,263.288,251.514,279.912,263.154,264.335,224.002,-55.093,2.00624,114.019,52
2026.18,213.841,52.3178,52.3179,57.3497,57.3428,40.6472,42.0886,6.672,0.362207,67.5096,23.4232,273.076,259.184,249.75,278.572,261.109,267.911,221.933,-57.0721,2.0053,113.994,53
2094.18,213.018,51.8156,51.8157,56.9957,56.9888,40.7929,42.6493,6.21111,0.375817,67.5194,21.4778,271.538,263.979,247.227,276.962,267.745,268.909,217.65,-60.3768,2.00372,113.971,54
2094.91,212.215,51.3395,51.3395,56.6713,56.6645,40.9715,43.0679,5.56967,0.42997,67.5284,19.6779,269.881,263.393,244.684,275.299,269.248,269.557,213.294,-63.6641,2.00156,113.956,55
2095.59,211.434,50.9182,50.9183,56.3945,56.3876,41.2544,43.4763,5.01214,0.429814,67.539,17.9705,268.011,264.519,242.047,273.572,269.656,269.836,208.97,-67.0146,1.99875,113.943,56
2078.01,210.666,50.529,50.5291,56.1331,56.1262,41.5293,43.8113,4.52662,0.428101,67.55,16.3452,266.238,265.109,245.335,271.74,269.747,269.907,204.582,-70.3835,1.99528,113.931,57
1981.42,210.066,50.1696,50.1697,55.8952,55.8884,41.7444,44.0673,4.40356,0.0579073,67.5601,15.9068,264.264,264.118,249.864,267.915,265.308,271.428,201.333,-71.2525,1.99095,113.897,58
1933.68,209.348,49.7858,49.7859,55.653,55.6462,41.7027,44.3188,4.27279,0.0,67.5701,15.0721,261.96,264.258,236.983,269.702,239.448,249.553,201.046,-71.6748,1.98591,113.85,59
1915.84,208.649,49.3367,49.3368,55.3918,55.385,41.1599,44.1796,5.25801,1.70548,67.5786,17.7151,263.138,240.345,238.645,269.459,240.901,241.661,204.875,-63.6951,1.98022,113.738,60
2022.22,207.877,48.8954,48.8955,55.2013,55.1944,40.2876,44.3552,4.81286,0.138166,67.5891,17.0633,259.637,236.615,235.159,267.686,238.267,238.85,202.805,-63.9869,1.97504,113.537,61
1984.87,207.261,48.4668,48.4668,55.0165,55.0097,40.0783,44.7826,4.93262,0.336784,67.6003,15.1898,258.368,235.126,233.537,266.589,247.493,247.556,200.659,-68.2502,1.97012,113.309,62
1999.23,206.497,48.0884,48.0885,54.7976,54.7909,40.2879,44.7662,4.97433,0.64168,67.6113,14.4722,259.212,233.775,232.497,264.012,264.861,267.994,199.17,-71.6,1.96517,113.09,63
2006.49,205.809,47.7335,47.7336,54.5786,54.5719,40.474,44.5907,4.99411,0.942954,67.6223,13.3434,258.631,231.236,229.855,262.953,267.566,268.405,195.549,-75.3383,1.95977,112.877,64
2012.64,205.149,47.4199,47.4199,54.3555,54.3488,40.955,44.424,4.76535,0.916644,67.6316,12.3913,257.528,229.023,227.701,261.858,265.13,265.819,192.299,-75.8701,1.95331,112.662,65
2020.73,204.508,47.1455,47.1456,54.1349,54.1282,41.5768,44.2938,4.28449,0.746719,67.6417,11.4401,255.976,226.634,225.463,260.556,258.796,259.458,188.938,-74.0595,1.94655,112.452,66
2032.39,203.894,46.894,46.8941,53.9211,53.9144,42.1093,44.2224,3.65182,0.517265,67.6528,10.4864,253.917,224.042,223.383,259.179,248.537,249.176,185.459,-76.5369,1.93943,112.243,67
2046.06,203.27,46.6631,46.6632,53.7219,53.7153,42.4667,44.2563,3.15182,0.426368,67.6642,9.53159,252.509,221.878,220.646,257.28,237.61,238.347,181.704,-78.9423,1.9321,112.042,68
2058.56,202.667,46.4487,46.4487,53.5334,53.5267,42.8406,44.4116,2.62674,0.405265,67.6751,8.71161,250.759,228.633,218.732,255.566,227.823,228.469,178.403,-81.3201,1.92463,111.88,69
2066.62,202.078,46.2432,46.2432,53.3533,53.3467,43.1143,44.6059,2.24495,0.302356,67.6852,7.93299,249.034,242.554,228.869,253.864,220.752,221.332,175.178,-83.8744,1.91696,111.758,70
2054.2,201.516,46.0449,46.045,53.1784,53.1718,43.2975,44.8146,2.10642,0.320817,67.6958,7.21556,247.261,240.539,236.525,252.108,218.159,218.739,172.067,-86.383,1.90908,111.653,71
2062.67,200.962,45.8536,45.8536,53.0051,52.9985,43.4544,44.9999,1.91482,0.381358,67.7069,6.62021,245.478,236.788,236.042,250.095,215.669,216.238,169.313,-88.0998,1.90099,111.541,72
2080.57,200.405,45.6649,45.665,52.8344,52.8278,43.5938,45.1537,1.7783,0.395126,67.719,6.11484,243.541,230.451,231.246,248.388,213.363,213.918,166.915,-88.9835,1.89255,111.411,73
2134.14,199.834,45.4726,45.4726,52.6677,52.6612,43.6923,45.3097,1.78523,0.354167,67.729,5.65573,241.152,216.535,220.678,246.768,211.142,211.691,164.689,-89.9668,1.88382,111.262,74
2125.37,199.301,45.2847,45.2848,52.5014,52.4949,43.7513,45.453,1.73369,0.0,67.7398,5.31374,240.703,207.125,207.735,244.735,209.058,209.591,162.876,-90.0733,1.87469,111.075,75
2105.38,198.761,45.09,45.0901,52.3341,52.3276,43.7831,45.576,1.62595,0.691752,67.7515,4.99098,238.222,205.07,204.015,243.126,207.106,207.627,161.137,-90.6701,1.86538,110.863,76
2101.45,198.231,44.8967,44.8967,52.1624,52.1559,43.8277,45.6447,1.81341,0.716167,67.7633,4.76707,236.569,203.538,202.416,241.031,205.321,205.829,159.936,-90.2263,1.85591,110.655,77
2103.03,197.712,44.7009,44.7009,51.9849,51.9784,43.8619,45.6654,1.7459,0.748801,67.7751,4.57203,237.749,201.922,200.83,238.441,203.618,204.116,158.885,-89.1632,1.84635,110.45,78
2106.61,197.202,44.5003,44.5003,51.8036,51.7972,43.885,45.6271,1.82563,0.850536,67.7866,4.3811,233.901,200.22,199.149,237.985,201.994,202.483,157.877,-90.2864,1.83707,110.252,79
2129.37,196.709,44.2845,44.2845,51.6214,51.615,43.8729,45.5681,1.1753,2.56914,67.797,4.1643,227.477,192.468,193.338,239.811,200.325,200.802,156.75,-94.0149,1.82737,110.055,80
2280.48,196.177,44.0543,44.0543,51.4305,51.4242,43.608,45.561,2.39751,0.986972,67.8087,3.97836,231.645,196.622,195.672,235.348,198.576,199.045,155.632,-91.2822,1.81783,109.862,81
2223.7,195.717,43.8052,43.8052,51.226,51.2197,43.4604,45.4094,0.0806618,0.0,67.8205,3.59012,226.556,197.056,189.998,221.571,197.19,197.654,149.941,-86.4166,1.808,109.67,82
2303.37,195.239,43.6303,43.6304,51.0385,51.0322,43.5606,45.1959,2.70445,1.6171,67.8324,3.78488,230.715,194.37,193.311,233.702,195.981,196.287,149.282,-91.538,1.7984,109.483,83
2284.02,194.799,43.4572,43.4572,50.8602,50.8539,44.4415,45.2839,1.56105,2.64314,67.8428,3.54345,229.703,193.356,192.443,231.753,194.319,194.69,147.901,-92.1153,1.79031,109.314,84
