hmi_RCSCT5_VALUE,hmi_RRCTP10_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSFT414_VALUE,hmi_RCSFT424_VALUE,hmi_RCSLT470_VALUE,hmi_RCSPT405_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT1734_VALUE,hmi_CTMPT1000A_VALUE,hmi_CTMTT60_VALUE,time
850.995,2426.76,72.9303,72.9303,72.9068,72.9068,78.3552,78.3449,116.868,112.98,67.0079,137.982,326.131,292.805,292.805,325.07,292.816,292.816,344.713,9.05209,0.00728069,44.4648,1
850.659,2185.12,73.1234,73.123,73.0563,73.0562,78.5482,78.3014,119.662,113.894,67.0078,120.433,324.112,292.925,292.919,324.092,292.845,292.845,343.934,-0.037774,0.10856,51.6246,2
850.626,2025.27,74.6952,74.6939,74.6352,74.6345,78.8031,78.3683,119.662,115.142,67.0076,114.666,322.403,293.361,293.352,322.264,293.151,293.151,341.623,-2.29021,0.241025,59.4279,3
850.645,893.758,77.7809,77.7788,77.7429,77.7417,76.8149,76.1502,119.662,116.768,67.0075,110.037,320.923,293.893,293.883,320.666,293.447,293.447,337.063,-4.10804,0.356584,66.6831,4
850.867,348.263,80.2725,80.273,80.2264,80.2271,73.5631,72.6335,119.662,116.684,67.0073,105.917,319.539,294.607,294.594,319.234,293.807,293.807,330.262,-5.74978,0.465001,74.6101,5
851.425,333.942,82.1579,82.1557,82.1255,82.1244,70.9308,69.5573,119.662,115.28,67.0072,101.743,318.023,295.857,295.834,317.759,294.664,294.664,321.668,-6.80895,0.561896,80.9518,6
853.659,323.629,83.2889,83.2899,83.2676,83.2694,68.55,66.8081,119.662,114.24,67.007,98.1908,316.784,297.82,297.767,316.427,295.81,295.81,310.146,-7.76418,0.647737,85.4953,7
862.015,311.182,83.7497,83.7511,83.7441,83.7458,66.224,64.4828,99.0581,90.0086,67.0069,94.7771,315.264,298.126,298.157,315.133,297.881,297.881,304.618,-8.44113,0.726772,88.9772,8
916.512,301.307,83.8244,83.8258,83.8239,83.8255,63.9697,62.7223,93.1701,84.7511,67.0068,92.4771,314.241,297.226,297.276,314.188,297.104,297.104,302.742,-8.95389,0.798583,91.7655,9
1103.91,289.47,83.6229,83.6234,83.6309,83.6319,61.9299,61.2316,100.976,98.2454,67.0066,91.6511,313.178,296.146,296.168,313.535,296.694,296.694,301.267,-8.81097,0.863859,94.0544,10
1070.9,283.42,83.1413,83.1399,83.1488,83.1499,60.1622,60.1021,107.055,105.62,67.0502,90.4946,312.522,295.493,295.504,312.949,296.12,296.12,300.231,-9.02561,0.923308,95.9921,11
961.745,279.332,82.565,82.5634,82.5607,82.5641,58.8319,59.2715,106.272,104.84,67.1267,88.959,311.646,294.885,294.897,311.887,295.191,295.191,298.821,-9.04677,0.981298,97.6934,12
921.277,276.698,82.0551,82.0541,82.052,82.0563,56.6855,57.8539,94.3968,89.332,67.1574,94.6292,310.756,294.247,294.278,310.867,294.285,294.285,297.373,-4.14151,1.04099,99.3448,13
